"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.025,9490
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.1,9720
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.25,9970
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.5,10280
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.75,10630
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.9,10950
"DE","00+",2024-09-05,2024-09-08,1,"quantile",0.975,11290
"DE","00+",2024-09-05,2024-09-08,1,"mean",NA,10316.4794963667
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.025,9500
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.1,9720
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.25,9960
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.5,10260
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.75,10590
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.9,10900
"DE","00+",2024-09-05,2024-09-15,2,"quantile",0.975,11230
"DE","00+",2024-09-05,2024-09-15,2,"mean",NA,10292.2606972462
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.025,9490
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.1,9720
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.25,9950
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.5,10240
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.75,10560
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.9,10860
"DE","00+",2024-09-05,2024-09-22,3,"quantile",0.975,11180
"DE","00+",2024-09-05,2024-09-22,3,"mean",NA,10269.2895272183
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.025,9480
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.1,9710
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.25,9940
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.5,10220
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.75,10520
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.9,10820
"DE","00+",2024-09-05,2024-09-29,4,"quantile",0.975,11130
"DE","00+",2024-09-05,2024-09-29,4,"mean",NA,10247.497232245
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.025,1110
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.1,1140
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.25,1180
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.5,1230
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.75,1270
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.9,1320
"DE","00-04",2024-09-05,2024-09-08,1,"quantile",0.975,1370
"DE","00-04",2024-09-05,2024-09-08,1,"mean",NA,1234.14011488184
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.025,1140
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.1,1190
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.25,1230
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.5,1280
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.75,1330
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.9,1380
"DE","00-04",2024-09-05,2024-09-15,2,"quantile",0.975,1430
"DE","00-04",2024-09-05,2024-09-15,2,"mean",NA,1286.16656308577
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.025,1180
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.1,1230
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.25,1270
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.5,1330
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.75,1390
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.9,1440
"DE","00-04",2024-09-05,2024-09-22,3,"quantile",0.975,1500
"DE","00-04",2024-09-05,2024-09-22,3,"mean",NA,1336.82307931687
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.025,1210
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.1,1270
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.25,1320
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.5,1380
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.75,1440
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.9,1500
"DE","00-04",2024-09-05,2024-09-29,4,"quantile",0.975,1560
"DE","00-04",2024-09-05,2024-09-29,4,"mean",NA,1386.02027444203
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.025,660
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.1,680
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.25,710
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.5,730
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.75,760
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.9,790
"DE","05-14",2024-09-05,2024-09-08,1,"quantile",0.975,820
"DE","05-14",2024-09-05,2024-09-08,1,"mean",NA,739.993808495622
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.025,630
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.1,660
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.25,680
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.5,710
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.75,730
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.9,760
"DE","05-14",2024-09-05,2024-09-15,2,"quantile",0.975,790
"DE","05-14",2024-09-05,2024-09-15,2,"mean",NA,711.948478873695
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.025,600
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.1,630
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.25,650
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.5,680
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.75,710
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.9,740
"DE","05-14",2024-09-05,2024-09-22,3,"quantile",0.975,760
"DE","05-14",2024-09-05,2024-09-22,3,"mean",NA,687.696090096894
"DE","05-14",2024-09-05,2024-09-29,4,"quantile",0.025,580
