"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.025,6810
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.1,7430
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.25,8010
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.5,8690
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.75,9420
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.9,10120
"DE","00+",2024-08-15,2024-08-18,1,"quantile",0.975,10950
"DE","00+",2024-08-15,2024-08-18,1,"mean",NA,8747.20663010079
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.025,5860
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.1,6630
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.25,7390
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.5,8290
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.75,9280
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.9,10240
"DE","00+",2024-08-15,2024-08-25,2,"quantile",0.975,11390
"DE","00+",2024-08-15,2024-08-25,2,"mean",NA,8385.23088799239
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.025,5460
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.1,6290
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.25,7100
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.5,8100
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.75,9220
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.9,10330
"DE","00+",2024-08-15,2024-09-01,3,"quantile",0.975,11680
"DE","00+",2024-08-15,2024-09-01,3,"mean",NA,8231.15256322386
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.025,5340
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.1,6180
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.25,7020
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.5,8070
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.75,9260
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.9,10460
"DE","00+",2024-08-15,2024-09-08,4,"quantile",0.975,11950
"DE","00+",2024-08-15,2024-09-08,4,"mean",NA,8228.84338262911
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.025,400
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.1,490
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.25,580
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.5,700
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.75,830
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.9,960
"DE","00-04",2024-08-15,2024-08-18,1,"quantile",0.975,1130
"DE","00-04",2024-08-15,2024-08-18,1,"mean",NA,721.855376213568
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.025,320
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.1,440
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.25,560
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.5,730
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.75,920
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.9,1130
"DE","00-04",2024-08-15,2024-08-25,2,"quantile",0.975,1390
"DE","00-04",2024-08-15,2024-08-25,2,"mean",NA,767.082793599734
