"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.025,24360
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.1,25190
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.25,26020
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.5,27230
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.75,28490
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.9,29650
"DE","00+",2024-02-01,2024-02-04,1,"quantile",0.975,30930
"DE","00+",2024-02-01,2024-02-04,1,"mean",NA,27330.7997149684
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.025,23330
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.1,24150
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.25,24920
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.5,26140
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.75,27320
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.9,28290
"DE","00+",2024-02-01,2024-02-11,2,"quantile",0.975,29880
"DE","00+",2024-02-01,2024-02-11,2,"mean",NA,26201.7224448428
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.025,22390
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.1,23180
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.25,23910
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.5,25130
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.75,26200
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.9,27140
"DE","00+",2024-02-01,2024-02-18,3,"quantile",0.975,28920
"DE","00+",2024-02-01,2024-02-18,3,"mean",NA,25165.4578037507
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.025,21530
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.1,22280
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.25,22990
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.5,24200
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.75,25120
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.9,26170
"DE","00+",2024-02-01,2024-02-25,4,"quantile",0.975,28030
"DE","00+",2024-02-01,2024-02-25,4,"mean",NA,24212.4242512025
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.025,5010
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.1,5210
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.25,5440
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.5,5660
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.75,5910
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.9,6150
"DE","00-04",2024-02-01,2024-02-04,1,"quantile",0.975,6480
"DE","00-04",2024-02-01,2024-02-04,1,"mean",NA,5684.64000193678
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.025,4640
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.1,4810
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.25,5150
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.5,5360
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.75,5630
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.9,5870
"DE","00-04",2024-02-01,2024-02-11,2,"quantile",0.975,6210
"DE","00-04",2024-02-01,2024-02-11,2,"mean",NA,5382.52611109925
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.025,4250
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.1,4510
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.25,4870
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.5,5090
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.75,5430
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.9,5660
"DE","00-04",2024-02-01,2024-02-18,3,"quantile",0.975,6010
"DE","00-04",2024-02-01,2024-02-18,3,"mean",NA,5123.00964140754
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.025,3920
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.1,4260
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.25,4590
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.5,4870
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.75,5250
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.9,5510
"DE","00-04",2024-02-01,2024-02-25,4,"quantile",0.975,5850
"DE","00-04",2024-02-01,2024-02-25,4,"mean",NA,4897.65245653665
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.025,1400
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.1,1440
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.25,1490
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.5,1560
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.75,1630
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.9,1700
"DE","05-14",2024-02-01,2024-02-04,1,"quantile",0.975,1770
"DE","05-14",2024-02-01,2024-02-04,1,"mean",NA,1568.74977586301
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.025,1250
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.1,1300
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.25,1350
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.5,1400
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.75,1470
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.9,1530
"DE","05-14",2024-02-01,2024-02-11,2,"quantile",0.975,1600
"DE","05-14",2024-02-01,2024-02-11,2,"mean",NA,1414.40725600468
"DE","05-14",2024-02-01,2024-02-18,3,"quantile",0.025,1140
"DE","05-14",2024-02-01,2024-02-18,3,"quantile",0.1,1180
"DE","05-14",2024-02-01,2024-02-18,3,"quantile",0.25,1230
"DE","05-14",2024-02-01,2024-02-18,3,"quantile",0.5,1280
"DE","05-14",2024-02-01,2024-02-18,3,"quantile",0.75,1330
"DE","05-14",2024-02-01,2024-02-18,3,"quantile",0.9,1390
