location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-06-13,2024-06-09,0,quantile,0.025,4334.285000000001
DE,00+,2024-06-13,2024-06-09,0,quantile,0.1,5183.9800000000005
DE,00+,2024-06-13,2024-06-09,0,quantile,0.25,6043.35
DE,00+,2024-06-13,2024-06-09,0,quantile,0.5,7106.5
DE,00+,2024-06-13,2024-06-09,0,quantile,0.75,8289.8
DE,00+,2024-06-13,2024-06-09,0,quantile,0.9,9451.829999999998
DE,00+,2024-06-13,2024-06-09,0,quantile,0.975,10873.920000000002
DE,00+,2024-06-13,2024-06-16,1,quantile,0.025,4252.985
DE,00+,2024-06-13,2024-06-16,1,quantile,0.1,5110.39
DE,00+,2024-06-13,2024-06-16,1,quantile,0.25,5964.95
DE,00+,2024-06-13,2024-06-16,1,quantile,0.5,7026.1
DE,00+,2024-06-13,2024-06-16,1,quantile,0.75,8200.325
DE,00+,2024-06-13,2024-06-16,1,quantile,0.9,9368.46
DE,00+,2024-06-13,2024-06-16,1,quantile,0.975,10785.2225
DE,00+,2024-06-13,2024-06-23,2,quantile,0.025,4176.6900000000005
DE,00+,2024-06-13,2024-06-23,2,quantile,0.1,5021.39
DE,00+,2024-06-13,2024-06-23,2,quantile,0.25,5864.05
DE,00+,2024-06-13,2024-06-23,2,quantile,0.5,6913.3
DE,00+,2024-06-13,2024-06-23,2,quantile,0.75,8074.125
DE,00+,2024-06-13,2024-06-23,2,quantile,0.9,9224.929999999998
DE,00+,2024-06-13,2024-06-23,2,quantile,0.975,10644.525000000001
DE,00+,2024-06-13,2024-06-30,3,quantile,0.025,4211.495
DE,00+,2024-06-13,2024-06-30,3,quantile,0.1,5049.1900000000005
DE,00+,2024-06-13,2024-06-30,3,quantile,0.25,5894.45
DE,00+,2024-06-13,2024-06-30,3,quantile,0.5,6943.85
DE,00+,2024-06-13,2024-06-30,3,quantile,0.75,8105.725
DE,00+,2024-06-13,2024-06-30,3,quantile,0.9,9262.73
DE,00+,2024-06-13,2024-06-30,3,quantile,0.975,10664.2225
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.025,253.195
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.1,394.28000000000003
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.25,562.5
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.5,801.0
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.75,1101.2
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.9,1427.4
DE,00-04,2024-06-13,2024-06-09,0,quantile,0.975,1858.1025000000002
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.025,255.4
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.1,398.0
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.25,567.775
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.5,808.7
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.75,1110.825
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.9,1437.9099999999999
DE,00-04,2024-06-13,2024-06-16,1,quantile,0.975,1874.4
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.025,253.5
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.1,394.1
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.25,562.6
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.5,802.5
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.75,1101.325
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.9,1425.7199999999998
DE,00-04,2024-06-13,2024-06-23,2,quantile,0.975,1854.0100000000007
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.025,248.2
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.1,389.5
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.25,556.5
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.5,794.75
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.75,1095.125
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.9,1419.1299999999997
DE,00-04,2024-06-13,2024-06-30,3,quantile,0.975,1851.2050000000004
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.025,55.0
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.1,92.9
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.25,140.0
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.5,209.1
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.75,297.3
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.9,396.5
DE,05-14,2024-06-13,2024-06-09,0,quantile,0.975,528.2
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.025,54.995000000000005
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.1,92.7
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.25,139.4
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.5,208.1
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.75,296.8
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.9,395.2
DE,05-14,2024-06-13,2024-06-16,1,quantile,0.975,528.9025000000001
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.025,54.0
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.1,91.8
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.25,138.9
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.5,207.8
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.75,296.9
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.9,395.0
DE,05-14,2024-06-13,2024-06-23,2,quantile,0.975,527.2
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.025,54.3
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.1,92.1
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.25,138.7
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.5,207.7
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.75,296.3
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.9,394.1
DE,05-14,2024-06-13,2024-06-30,3,quantile,0.975,525.1
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.025,116.8
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.1,166.3
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.25,221.2
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.5,295.5
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.75,383.4
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.9,476.30999999999983
DE,15-34,2024-06-13,2024-06-09,0,quantile,0.975,597.6
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.025,116.69749999999999
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.1,165.5
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.25,220.6
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.5,294.1
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.75,382.5
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.9,475.40999999999985
DE,15-34,2024-06-13,2024-06-16,1,quantile,0.975,597.2025000000001
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.025,116.5
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.1,164.99
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.25,219.5
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.5,292.9
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.75,381.6
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.9,474.20999999999987
DE,15-34,2024-06-13,2024-06-23,2,quantile,0.975,593.4
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.025,115.6
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.1,163.6
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.25,217.6
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.5,289.9
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.75,376.8
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.9,467.3
DE,15-34,2024-06-13,2024-06-30,3,quantile,0.975,585.2025000000001
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.025,446.2
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.1,585.5899999999999
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.25,733.9
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.5,927.5
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.75,1150.825
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.9,1379.5199999999998
DE,35-59,2024-06-13,2024-06-09,0,quantile,0.975,1669.2100000000005
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.025,440.4
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.1,578.8
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.25,725.0
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.5,915.8
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.75,1137.8
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.9,1365.4
DE,35-59,2024-06-13,2024-06-16,1,quantile,0.975,1653.0075000000004
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.025,429.5975
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.1,565.3
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.25,710.3
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.5,899.2
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.75,1118.3
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.9,1343.6199999999997
DE,35-59,2024-06-13,2024-06-23,2,quantile,0.975,1626.9050000000002
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.025,427.2
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.1,562.2
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.25,705.9
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.5,893.2
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.75,1110.8
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.9,1334.9099999999999
DE,35-59,2024-06-13,2024-06-30,3,quantile,0.975,1616.6025000000002
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.025,1294.3925
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.1,1548.8
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.25,1805.15
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.5,2122.1
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.75,2475.225
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.9,2823.31
DE,60-79,2024-06-13,2024-06-09,0,quantile,0.975,3247.5125000000007
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.025,1288.0975
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.1,1538.99
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.25,1790.9
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.5,2103.7
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.75,2449.9
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.9,2792.5
DE,60-79,2024-06-13,2024-06-16,1,quantile,0.975,3210.505
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.025,1257.9975
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.1,1507.79
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.25,1758.8
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.5,2069.0
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.75,2413.3
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.9,2753.71
DE,60-79,2024-06-13,2024-06-23,2,quantile,0.975,3164.0025
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.025,1269.9975
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.1,1515.59
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.25,1765.4
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.5,2074.0
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.75,2417.1
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.9,2755.1099999999997
DE,60-79,2024-06-13,2024-06-30,3,quantile,0.975,3169.7125000000005
DE,80+,2024-06-13,2024-06-09,0,quantile,0.025,1285.0975
DE,80+,2024-06-13,2024-06-09,0,quantile,0.1,1552.09
DE,80+,2024-06-13,2024-06-09,0,quantile,0.25,1820.975
DE,80+,2024-06-13,2024-06-09,0,quantile,0.5,2154.5
DE,80+,2024-06-13,2024-06-09,0,quantile,0.75,2527.1
DE,80+,2024-06-13,2024-06-09,0,quantile,0.9,2895.41
DE,80+,2024-06-13,2024-06-09,0,quantile,0.975,3343.3075000000003
DE,80+,2024-06-13,2024-06-16,1,quantile,0.025,1264.1975
DE,80+,2024-06-13,2024-06-16,1,quantile,0.1,1528.59
DE,80+,2024-06-13,2024-06-16,1,quantile,0.25,1797.7
DE,80+,2024-06-13,2024-06-16,1,quantile,0.5,2128.5
DE,80+,2024-06-13,2024-06-16,1,quantile,0.75,2500.0
DE,80+,2024-06-13,2024-06-16,1,quantile,0.9,2869.2
DE,80+,2024-06-13,2024-06-16,1,quantile,0.975,3323.1
DE,80+,2024-06-13,2024-06-23,2,quantile,0.025,1236.9975
DE,80+,2024-06-13,2024-06-23,2,quantile,0.1,1497.1
DE,80+,2024-06-13,2024-06-23,2,quantile,0.25,1760.3
DE,80+,2024-06-13,2024-06-23,2,quantile,0.5,2088.15
DE,80+,2024-06-13,2024-06-23,2,quantile,0.75,2452.1
DE,80+,2024-06-13,2024-06-23,2,quantile,0.9,2814.6
DE,80+,2024-06-13,2024-06-23,2,quantile,0.975,3257.8100000000004
DE,80+,2024-06-13,2024-06-30,3,quantile,0.025,1248.8925
DE,80+,2024-06-13,2024-06-30,3,quantile,0.1,1510.59
DE,80+,2024-06-13,2024-06-30,3,quantile,0.25,1774.2
DE,80+,2024-06-13,2024-06-30,3,quantile,0.5,2104.25
DE,80+,2024-06-13,2024-06-30,3,quantile,0.75,2470.6
DE,80+,2024-06-13,2024-06-30,3,quantile,0.9,2834.0
DE,80+,2024-06-13,2024-06-30,3,quantile,0.975,3284.3075000000003
