location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-04-04,2024-04-07,1,quantile,0.025,6695.8825
DE,00+,2024-04-04,2024-04-07,1,quantile,0.1,7824.389999999999
DE,00+,2024-04-04,2024-04-07,1,quantile,0.25,8923.775
DE,00+,2024-04-04,2024-04-07,1,quantile,0.5,10277.75
DE,00+,2024-04-04,2024-04-07,1,quantile,0.75,11757.85
DE,00+,2024-04-04,2024-04-07,1,quantile,0.9,13219.95
DE,00+,2024-04-04,2024-04-07,1,quantile,0.975,15009.830000000002
DE,00+,2024-04-04,2024-04-14,2,quantile,0.025,6213.4925
DE,00+,2024-04-04,2024-04-14,2,quantile,0.1,7256.789999999999
DE,00+,2024-04-04,2024-04-14,2,quantile,0.25,8284.0
DE,00+,2024-04-04,2024-04-14,2,quantile,0.5,9546.0
DE,00+,2024-04-04,2024-04-14,2,quantile,0.75,10935.2
DE,00+,2024-04-04,2024-04-14,2,quantile,0.9,12299.939999999999
DE,00+,2024-04-04,2024-04-14,2,quantile,0.975,13977.742500000002
DE,00+,2024-04-04,2024-04-21,3,quantile,0.025,5961.885
DE,00+,2024-04-04,2024-04-21,3,quantile,0.1,6960.45
DE,00+,2024-04-04,2024-04-21,3,quantile,0.25,7950.6
DE,00+,2024-04-04,2024-04-21,3,quantile,0.5,9169.5
DE,00+,2024-04-04,2024-04-21,3,quantile,0.75,10502.325
DE,00+,2024-04-04,2024-04-21,3,quantile,0.9,11810.25
DE,00+,2024-04-04,2024-04-21,3,quantile,0.975,13409.540000000003
DE,00+,2024-04-04,2024-04-28,4,quantile,0.025,5764.9875
DE,00+,2024-04-04,2024-04-28,4,quantile,0.1,6740.07
DE,00+,2024-04-04,2024-04-28,4,quantile,0.25,7706.475
DE,00+,2024-04-04,2024-04-28,4,quantile,0.5,8894.05
DE,00+,2024-04-04,2024-04-28,4,quantile,0.75,10200.325
DE,00+,2024-04-04,2024-04-28,4,quantile,0.9,11470.55
DE,00+,2024-04-04,2024-04-28,4,quantile,0.975,13041.62
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.025,677.7975
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.1,924.7
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.25,1196.1
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.5,1557.65
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.75,1989.0
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.9,2436.81
DE,00-04,2024-04-04,2024-04-07,1,quantile,0.975,3009.8075000000003
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.025,588.4975000000001
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.1,813.48
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.25,1059.175
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.5,1387.35
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.75,1784.725
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.9,2196.8
DE,00-04,2024-04-04,2024-04-14,2,quantile,0.975,2730.5200000000013
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.025,568.5975000000001
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.1,783.08
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.25,1021.4
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.5,1339.65
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.75,1718.1
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.9,2116.31
DE,00-04,2024-04-04,2024-04-21,3,quantile,0.975,2627.6075000000005
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.025,548.1975
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.1,760.89
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.25,995.9
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.5,1307.6
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.75,1682.825
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.9,2075.41
DE,00-04,2024-04-04,2024-04-28,4,quantile,0.975,2588.5075000000006
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.025,116.2
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.1,172.1
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.25,236.3
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.5,325.1
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.75,434.225
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.9,550.8
DE,05-14,2024-04-04,2024-04-07,1,quantile,0.975,703.7
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.025,103.6
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.1,155.2
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.25,214.1
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.5,296.4
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.75,397.9
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.9,506.3
DE,05-14,2024-04-04,2024-04-14,2,quantile,0.975,647.8025000000001
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.025,100.6
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.1,150.9
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.25,208.4
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.5,288.6
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.75,387.1
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.9,492.7
DE,05-14,2024-04-04,2024-04-21,3,quantile,0.975,630.7050000000003
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.025,97.0
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.1,146.29000000000002
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.25,202.8
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.5,281.4
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.75,378.4
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.9,482.3
DE,05-14,2024-04-04,2024-04-28,4,quantile,0.975,618.7
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.025,201.6
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.1,268.3
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.25,340.1
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.5,434.0
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.75,543.8
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.9,658.1
DE,15-34,2024-04-04,2024-04-07,1,quantile,0.975,803.2025000000001
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.025,185.5
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.1,247.9
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.25,315.1
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.5,403.3
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.75,506.5
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.9,613.3
DE,15-34,2024-04-04,2024-04-14,2,quantile,0.975,747.8025000000001
DE,15-34,2024-04-04,2024-04-21,3,quantile,0.025,178.39749999999998
DE,15-34,2024-04-04,2024-04-21,3,quantile,0.1,239.0
DE,15-34,2024-04-04,2024-04-21,3,quantile,0.25,303.6
