location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-01-11,2024-01-07,0,quantile,0.025,16885.677499999998
DE,00+,2024-01-11,2024-01-07,0,quantile,0.1,18890.25
DE,00+,2024-01-11,2024-01-07,0,quantile,0.25,20839.025
DE,00+,2024-01-11,2024-01-07,0,quantile,0.5,23153.65
DE,00+,2024-01-11,2024-01-07,0,quantile,0.75,25662.225
DE,00+,2024-01-11,2024-01-07,0,quantile,0.9,28060.24
DE,00+,2024-01-11,2024-01-07,0,quantile,0.975,30949.442500000005
DE,00+,2024-01-11,2024-01-14,1,quantile,0.025,15591.875
DE,00+,2024-01-11,2024-01-14,1,quantile,0.1,17560.54
DE,00+,2024-01-11,2024-01-14,1,quantile,0.25,19477.4
DE,00+,2024-01-11,2024-01-14,1,quantile,0.5,21778.35
DE,00+,2024-01-11,2024-01-14,1,quantile,0.75,24277.275
DE,00+,2024-01-11,2024-01-14,1,quantile,0.9,26676.35
DE,00+,2024-01-11,2024-01-14,1,quantile,0.975,29564.145
DE,00+,2024-01-11,2024-01-21,2,quantile,0.025,15074.87
DE,00+,2024-01-11,2024-01-21,2,quantile,0.1,17015.75
DE,00+,2024-01-11,2024-01-21,2,quantile,0.25,18886.85
DE,00+,2024-01-11,2024-01-21,2,quantile,0.5,21136.85
DE,00+,2024-01-11,2024-01-21,2,quantile,0.75,23564.3
DE,00+,2024-01-11,2024-01-21,2,quantile,0.9,25901.93
DE,00+,2024-01-11,2024-01-21,2,quantile,0.975,28700.267500000005
DE,00+,2024-01-11,2024-01-28,3,quantile,0.025,14616.470000000001
DE,00+,2024-01-11,2024-01-28,3,quantile,0.1,16547.86
DE,00+,2024-01-11,2024-01-28,3,quantile,0.25,18423.125
DE,00+,2024-01-11,2024-01-28,3,quantile,0.5,20655.95
DE,00+,2024-01-11,2024-01-28,3,quantile,0.75,23071.55
DE,00+,2024-01-11,2024-01-28,3,quantile,0.9,25380.23
DE,00+,2024-01-11,2024-01-28,3,quantile,0.975,28140.170000000006
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.025,2681.69
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.1,3331.97
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.25,4003.45
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.5,4846.35
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.75,5809.975
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.9,6775.629999999999
DE,00-04,2024-01-11,2024-01-07,0,quantile,0.975,7964.6125
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.025,2568.7974999999997
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.1,3235.59
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.25,3926.675
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.5,4794.35
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.75,5783.125
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.9,6788.24
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.975,8035.325000000002
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.025,2418.6925
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.1,3058.7799999999997
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.25,3713.5
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.5,4549.6
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.75,5505.725
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.9,6467.3099999999995
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.975,7670.217500000002
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.025,2153.9875
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.1,2760.2
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.25,3391.575
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.5,4202.05
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.75,5125.65
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.9,6066.429999999999
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.975,7245.117500000002
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.025,307.29499999999996
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.1,421.9
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.25,547.175
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.5,714.8
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.75,913.7
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.9,1120.4099999999999
DE,05-14,2024-01-11,2024-01-07,0,quantile,0.975,1384.3025000000002
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.025,307.2
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.1,427.6
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.25,558.6
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.5,736.4
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.75,946.7
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.9,1167.7
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.975,1452.4050000000002
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.025,292.6975
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.1,408.2
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.25,536.45
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.5,707.6
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.75,912.725
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.9,1129.5099999999998
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.975,1408.0050000000003
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.025,279.5
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.1,395.29
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.25,522.1
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.5,694.6
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.75,902.1
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.9,1120.4
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.975,1401.7025
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.025,428.59499999999997
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.1,538.3
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.25,651.5
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.5,794.65
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.75,957.925
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.9,1121.6
DE,15-34,2024-01-11,2024-01-07,0,quantile,0.975,1324.0050000000003
DE,15-34,2024-01-11,2024-01-14,1,quantile,0.025,432.8
DE,15-34,2024-01-11,2024-01-14,1,quantile,0.1,546.0
DE,15-34,2024-01-11,2024-01-14,1,quantile,0.25,663.5
DE,15-34,2024-01-11,2024-01-14,1,quantile,0.5,812.45
DE,15-34,2024-01-11,2024-01-14,1,quantile,0.75,981.725
DE,15-34,2024-01-11,2024-01-14,1,quantile,0.9,1153.7
