location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-07-18,2024-07-21,1,quantile,0.025,6260.594999999999
DE,00+,2024-07-18,2024-07-21,1,quantile,0.1,7008.719999999999
DE,00+,2024-07-18,2024-07-21,1,quantile,0.25,7734.25
DE,00+,2024-07-18,2024-07-21,1,quantile,0.5,8552.65
DE,00+,2024-07-18,2024-07-21,1,quantile,0.75,9458.85
DE,00+,2024-07-18,2024-07-21,1,quantile,0.9,10292.8
DE,00+,2024-07-18,2024-07-21,1,quantile,0.975,11216.975
DE,00+,2024-07-18,2024-07-28,2,quantile,0.025,6063.8925
DE,00+,2024-07-18,2024-07-28,2,quantile,0.1,6771.51
DE,00+,2024-07-18,2024-07-28,2,quantile,0.25,7431.625
DE,00+,2024-07-18,2024-07-28,2,quantile,0.5,8244.5
DE,00+,2024-07-18,2024-07-28,2,quantile,0.75,9127.025
DE,00+,2024-07-18,2024-07-28,2,quantile,0.9,9973.36
DE,00+,2024-07-18,2024-07-28,2,quantile,0.975,10895.0375
DE,00+,2024-07-18,2024-08-04,3,quantile,0.025,6120.1525
DE,00+,2024-07-18,2024-08-04,3,quantile,0.1,6850.12
DE,00+,2024-07-18,2024-08-04,3,quantile,0.25,7544.025
DE,00+,2024-07-18,2024-08-04,3,quantile,0.5,8350.0
DE,00+,2024-07-18,2024-08-04,3,quantile,0.75,9208.025
DE,00+,2024-07-18,2024-08-04,3,quantile,0.9,10039.32
DE,00+,2024-07-18,2024-08-04,3,quantile,0.975,11003.724999999999
DE,00+,2024-07-18,2024-08-11,4,quantile,0.025,6175.695
DE,00+,2024-07-18,2024-08-11,4,quantile,0.1,6901.2300000000005
DE,00+,2024-07-18,2024-08-11,4,quantile,0.25,7543.45
DE,00+,2024-07-18,2024-08-11,4,quantile,0.5,8390.4
DE,00+,2024-07-18,2024-08-11,4,quantile,0.75,9286.15
DE,00+,2024-07-18,2024-08-11,4,quantile,0.9,10155.11
DE,00+,2024-07-18,2024-08-11,4,quantile,0.975,11105.755000000001
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.025,477.1175
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.1,611.72
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.25,757.5
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.5,945.5
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.75,1163.825
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.9,1389.67
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.975,1669.7449999999997
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.025,449.43999999999994
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.1,587.0600000000001
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.25,732.975
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.5,925.1
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.75,1130.85
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.9,1357.31
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.975,1640.625
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.025,444.8875
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.1,580.65
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.25,724.6
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.5,913.75
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.75,1127.2
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.9,1336.25
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.975,1620.6299999999997
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.025,463.0375
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.1,602.75
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.25,756.975
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.5,948.45
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.75,1166.475
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.9,1393.35
DE,00-04,2024-07-18,2024-08-11,4,quantile,0.975,1667.8699999999997
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.025,214.8675
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.1,292.01
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.25,374.825
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.5,484.95
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.75,614.625
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.9,743.9200000000001
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.975,907.6524999999999
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.025,196.04749999999999
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.1,268.34000000000003
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.25,343.75
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.5,443.75
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.75,559.35
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.9,685.3100000000001
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.975,842.3875
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.025,211.965
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.1,280.94
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.25,358.075
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.5,460.6
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.75,583.925
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.9,713.71
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.975,867.805
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.025,209.27249999999998
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.1,274.73
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.25,352.025
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.5,456.5
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.75,575.325
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.9,698.0
DE,05-14,2024-07-18,2024-08-11,4,quantile,0.975,853.5824999999999
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.025,263.6575
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.1,328.91999999999996
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.25,403.6
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.5,499.2
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.75,605.55
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.9,715.13
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.975,845.7949999999998
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.025,238.77000000000004
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.1,306.44
