location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-07-04,2024-07-07,1,quantile,0.025,7305.910000000001
DE,00+,2024-07-04,2024-07-07,1,quantile,0.1,8148.83
DE,00+,2024-07-04,2024-07-07,1,quantile,0.25,8994.75
DE,00+,2024-07-04,2024-07-07,1,quantile,0.5,9978.05
DE,00+,2024-07-04,2024-07-07,1,quantile,0.75,10998.85
DE,00+,2024-07-04,2024-07-07,1,quantile,0.9,11987.470000000001
DE,00+,2024-07-04,2024-07-07,1,quantile,0.975,13097.2825
DE,00+,2024-07-04,2024-07-14,2,quantile,0.025,7036.7625
DE,00+,2024-07-04,2024-07-14,2,quantile,0.1,7895.07
DE,00+,2024-07-04,2024-07-14,2,quantile,0.25,8701.625
DE,00+,2024-07-04,2024-07-14,2,quantile,0.5,9641.05
DE,00+,2024-07-04,2024-07-14,2,quantile,0.75,10680.35
DE,00+,2024-07-04,2024-07-14,2,quantile,0.9,11634.74
DE,00+,2024-07-04,2024-07-14,2,quantile,0.975,12756.9825
DE,00+,2024-07-04,2024-07-21,3,quantile,0.025,7323.530000000001
DE,00+,2024-07-04,2024-07-21,3,quantile,0.1,8171.62
DE,00+,2024-07-04,2024-07-21,3,quantile,0.25,9007.425
DE,00+,2024-07-04,2024-07-21,3,quantile,0.5,10001.2
DE,00+,2024-07-04,2024-07-21,3,quantile,0.75,11035.775
DE,00+,2024-07-04,2024-07-21,3,quantile,0.9,12081.380000000001
DE,00+,2024-07-04,2024-07-21,3,quantile,0.975,13248.63
DE,00+,2024-07-04,2024-07-28,4,quantile,0.025,7211.2699999999995
DE,00+,2024-07-04,2024-07-28,4,quantile,0.1,8049.87
DE,00+,2024-07-04,2024-07-28,4,quantile,0.25,8907.05
DE,00+,2024-07-04,2024-07-28,4,quantile,0.5,9890.65
DE,00+,2024-07-04,2024-07-28,4,quantile,0.75,10945.3
DE,00+,2024-07-04,2024-07-28,4,quantile,0.9,11951.26
DE,00+,2024-07-04,2024-07-28,4,quantile,0.975,13101.7425
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.025,568.86
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.1,734.65
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.25,920.95
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.5,1145.25
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.75,1406.325
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.9,1674.4299999999998
DE,00-04,2024-07-04,2024-07-07,1,quantile,0.975,2004.9624999999996
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.025,553.47
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.1,713.39
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.25,888.225
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.5,1109.3
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.75,1371.2
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.9,1636.69
DE,00-04,2024-07-04,2024-07-14,2,quantile,0.975,1963.0625
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.025,557.7875
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.1,719.26
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.25,889.475
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.5,1128.15
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.75,1396.0
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.9,1661.0
DE,00-04,2024-07-04,2024-07-21,3,quantile,0.975,1981.4599999999998
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.025,564.835
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.1,733.92
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.25,921.825
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.5,1165.8
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.75,1434.225
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.9,1708.1799999999998
DE,00-04,2024-07-04,2024-07-28,4,quantile,0.975,2061.4824999999996
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.025,260.6175
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.1,350.43
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.25,443.9
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.5,570.3
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.75,717.775
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.9,873.0600000000001
DE,05-14,2024-07-04,2024-07-07,1,quantile,0.975,1058.81
DE,05-14,2024-07-04,2024-07-14,2,quantile,0.025,233.35250000000002
