location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-08-08,2024-08-11,1,quantile,0.025,6391.5825
DE,00+,2024-08-08,2024-08-11,1,quantile,0.1,7237.07
DE,00+,2024-08-08,2024-08-11,1,quantile,0.25,8054.575
DE,00+,2024-08-08,2024-08-11,1,quantile,0.5,9036.3
DE,00+,2024-08-08,2024-08-11,1,quantile,0.75,10088.925
DE,00+,2024-08-08,2024-08-11,1,quantile,0.9,11103.23
DE,00+,2024-08-08,2024-08-11,1,quantile,0.975,12319.3225
DE,00+,2024-08-08,2024-08-18,2,quantile,0.025,6397.1900000000005
DE,00+,2024-08-08,2024-08-18,2,quantile,0.1,7239.69
DE,00+,2024-08-08,2024-08-18,2,quantile,0.25,8055.3
DE,00+,2024-08-08,2024-08-18,2,quantile,0.5,9035.8
DE,00+,2024-08-08,2024-08-18,2,quantile,0.75,10087.925
DE,00+,2024-08-08,2024-08-18,2,quantile,0.9,11104.84
DE,00+,2024-08-08,2024-08-18,2,quantile,0.975,12331.115000000002
DE,00+,2024-08-08,2024-08-25,3,quantile,0.025,6620.8825
DE,00+,2024-08-08,2024-08-25,3,quantile,0.1,7489.88
DE,00+,2024-08-08,2024-08-25,3,quantile,0.25,8334.875
DE,00+,2024-08-08,2024-08-25,3,quantile,0.5,9349.8
DE,00+,2024-08-08,2024-08-25,3,quantile,0.75,10442.625
DE,00+,2024-08-08,2024-08-25,3,quantile,0.9,11496.22
DE,00+,2024-08-08,2024-08-25,3,quantile,0.975,12744.117500000002
DE,00+,2024-08-08,2024-09-01,4,quantile,0.025,6638.6925
DE,00+,2024-08-08,2024-09-01,4,quantile,0.1,7511.0
DE,00+,2024-08-08,2024-09-01,4,quantile,0.25,8362.1
DE,00+,2024-08-08,2024-09-01,4,quantile,0.5,9381.95
DE,00+,2024-08-08,2024-09-01,4,quantile,0.75,10485.55
DE,00+,2024-08-08,2024-09-01,4,quantile,0.9,11548.82
DE,00+,2024-08-08,2024-09-01,4,quantile,0.975,12820.230000000001
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.025,650.0
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.1,819.9
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.25,994.2
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.5,1218.3
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.75,1474.0
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.9,1731.1
DE,00-04,2024-08-08,2024-08-11,1,quantile,0.975,2053.1025
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.025,642.395
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.1,811.6
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.25,986.2
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.5,1208.5
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.75,1462.325
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.9,1719.0299999999995
DE,00-04,2024-08-08,2024-08-18,2,quantile,0.975,2038.0100000000007
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.025,652.0
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.1,827.4
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.25,1007.3
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.5,1236.8
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.75,1499.5
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.9,1766.1
DE,00-04,2024-08-08,2024-08-25,3,quantile,0.975,2095.6050000000005
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.025,643.5975000000001
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.1,816.1
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.25,996.5
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.5,1225.65
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.75,1490.2
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.9,1756.0
DE,00-04,2024-08-08,2024-09-01,4,quantile,0.975,2089.1075000000005
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.025,175.39749999999998
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.1,245.1
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.25,322.0
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.5,425.4
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.75,548.6
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.9,677.7
DE,05-14,2024-08-08,2024-08-11,1,quantile,0.975,844.5100000000006
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.025,177.0
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.1,247.6
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.25,325.1
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.5,428.5
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.75,552.7
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.9,683.2
DE,05-14,2024-08-08,2024-08-18,2,quantile,0.975,847.7
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.025,178.7
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.1,250.2
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.25,329.0
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.5,435.2
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.75,561.8
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.9,694.6
DE,05-14,2024-08-08,2024-08-25,3,quantile,0.975,866.7050000000003
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.025,182.0975
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.1,254.1
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.25,334.1
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.5,442.6
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.75,571.7
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.9,706.7
DE,05-14,2024-08-08,2024-09-01,4,quantile,0.975,879.6075000000004
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.025,213.4
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.1,286.2
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.25,364.9
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.5,468.8
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.75,589.3
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.9,714.8
DE,15-34,2024-08-08,2024-08-11,1,quantile,0.975,875.0050000000003
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.025,214.3
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.1,286.9
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.25,365.8
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.5,469.6
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.75,591.2
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.9,716.3
DE,15-34,2024-08-08,2024-08-18,2,quantile,0.975,875.8025000000001
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.025,216.7
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.1,290.7
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.25,370.7
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.5,475.6
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.75,598.2
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.9,725.2099999999998
DE,15-34,2024-08-08,2024-08-25,3,quantile,0.975,885.9025000000001
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.025,220.6
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.1,295.1
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.25,375.8
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.5,481.4
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.75,606.2
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.9,734.5099999999999
DE,15-34,2024-08-08,2024-09-01,4,quantile,0.975,897.9
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.025,686.3
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.1,804.1899999999999
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.25,920.575
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.5,1061.9
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.75,1218.6
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.9,1371.9099999999999
DE,35-59,2024-08-08,2024-08-11,1,quantile,0.975,1558.3050000000003
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.025,686.0975000000001
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.1,804.0
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.25,920.0
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.5,1061.2
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.75,1216.5
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.9,1367.8
DE,35-59,2024-08-08,2024-08-18,2,quantile,0.975,1552.2025
DE,35-59,2024-08-08,2024-08-25,3,quantile,0.025,704.2
