location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-05-16,2024-05-19,1,quantile,0.025,4487.5125
DE,00+,2024-05-16,2024-05-19,1,quantile,0.1,5380.64
DE,00+,2024-05-16,2024-05-19,1,quantile,0.25,6319.225
DE,00+,2024-05-16,2024-05-19,1,quantile,0.5,7439.2
DE,00+,2024-05-16,2024-05-19,1,quantile,0.75,8713.45
DE,00+,2024-05-16,2024-05-19,1,quantile,0.9,9983.93
DE,00+,2024-05-16,2024-05-19,1,quantile,0.975,11575.124999999998
DE,00+,2024-05-16,2024-05-26,2,quantile,0.025,4310.554999999999
DE,00+,2024-05-16,2024-05-26,2,quantile,0.1,5231.75
DE,00+,2024-05-16,2024-05-26,2,quantile,0.25,6111.525
DE,00+,2024-05-16,2024-05-26,2,quantile,0.5,7205.2
DE,00+,2024-05-16,2024-05-26,2,quantile,0.75,8442.35
DE,00+,2024-05-16,2024-05-26,2,quantile,0.9,9721.47
DE,00+,2024-05-16,2024-05-26,2,quantile,0.975,11268.707499999999
DE,00+,2024-05-16,2024-06-02,3,quantile,0.025,4136.9375
DE,00+,2024-05-16,2024-06-02,3,quantile,0.1,4976.33
DE,00+,2024-05-16,2024-06-02,3,quantile,0.25,5841.15
DE,00+,2024-05-16,2024-06-02,3,quantile,0.5,6920.45
DE,00+,2024-05-16,2024-06-02,3,quantile,0.75,8088.6
DE,00+,2024-05-16,2024-06-02,3,quantile,0.9,9264.77
DE,00+,2024-05-16,2024-06-02,3,quantile,0.975,10670.255
DE,00+,2024-05-16,2024-06-09,4,quantile,0.025,4171.9025
DE,00+,2024-05-16,2024-06-09,4,quantile,0.1,5052.2
DE,00+,2024-05-16,2024-06-09,4,quantile,0.25,5927.25
DE,00+,2024-05-16,2024-06-09,4,quantile,0.5,7031.1
DE,00+,2024-05-16,2024-06-09,4,quantile,0.75,8199.475
DE,00+,2024-05-16,2024-06-09,4,quantile,0.9,9429.619999999999
DE,00+,2024-05-16,2024-06-09,4,quantile,0.975,10816.675
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.025,254.49500000000003
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.1,398.54
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.25,577.675
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.5,831.9
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.75,1150.025
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.9,1485.2
DE,00-04,2024-05-16,2024-05-19,1,quantile,0.975,1918.0874999999996
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.025,265.625
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.1,414.89
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.25,592.15
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.5,843.5
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.75,1177.45
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.9,1534.8300000000002
DE,00-04,2024-05-16,2024-05-26,2,quantile,0.975,1983.8
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.025,239.55
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.1,378.03000000000003
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.25,543.275
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.5,778.65
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.75,1083.125
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.9,1431.41
DE,00-04,2024-05-16,2024-06-02,3,quantile,0.975,1870.9099999999994
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.025,250.325
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.1,388.57
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.25,559.3
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.5,810.3
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.75,1109.225
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.9,1435.6100000000001
DE,00-04,2024-05-16,2024-06-09,4,quantile,0.975,1882.1225
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.025,52.285000000000004
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.1,89.45
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.25,134.55
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.5,203.2
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.75,292.85
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.9,385.67
DE,05-14,2024-05-16,2024-05-19,1,quantile,0.975,511.9999999999999
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.025,53.4875
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.1,90.12
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.25,135.15
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.5,202.35
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.75,285.725
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.9,382.01000000000005
DE,05-14,2024-05-16,2024-05-26,2,quantile,0.975,508.14
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.025,54.085
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.1,89.44000000000001
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.25,132.975
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.5,195.3
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.75,281.65
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.9,370.81000000000006
DE,05-14,2024-05-16,2024-06-02,3,quantile,0.975,496.1824999999999
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.025,52.279999999999994
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.1,89.26
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.25,135.3
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.5,202.8
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.75,288.45
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.9,379.74000000000007
DE,05-14,2024-05-16,2024-06-09,4,quantile,0.975,509.39
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.025,121.755
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.1,168.34
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.25,220.625
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.5,293.95
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.75,384.05
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.9,478.46000000000004
DE,15-34,2024-05-16,2024-05-19,1,quantile,0.975,588.4399999999999
DE,15-34,2024-05-16,2024-05-26,2,quantile,0.025,114.38
