location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-12-07,2023-12-10,1,quantile,0.025,12123.875
DE,00+,2023-12-07,2023-12-10,1,quantile,0.1,13431.570000000002
DE,00+,2023-12-07,2023-12-10,1,quantile,0.25,14682.25
DE,00+,2023-12-07,2023-12-10,1,quantile,0.5,16177.6
DE,00+,2023-12-07,2023-12-10,1,quantile,0.75,17774.625
DE,00+,2023-12-07,2023-12-10,1,quantile,0.9,19303.75
DE,00+,2023-12-07,2023-12-10,1,quantile,0.975,21152.627500000002
DE,00+,2023-12-07,2023-12-17,2,quantile,0.025,14206.872500000001
DE,00+,2023-12-07,2023-12-17,2,quantile,0.1,15720.38
DE,00+,2023-12-07,2023-12-17,2,quantile,0.25,17166.775
DE,00+,2023-12-07,2023-12-17,2,quantile,0.5,18890.2
DE,00+,2023-12-07,2023-12-17,2,quantile,0.75,20739.475
DE,00+,2023-12-07,2023-12-17,2,quantile,0.9,22514.45
DE,00+,2023-12-07,2023-12-17,2,quantile,0.975,24619.6125
DE,00+,2023-12-07,2023-12-24,3,quantile,0.025,16538.8675
DE,00+,2023-12-07,2023-12-24,3,quantile,0.1,18263.23
DE,00+,2023-12-07,2023-12-24,3,quantile,0.25,19939.95
DE,00+,2023-12-07,2023-12-24,3,quantile,0.5,21916.05
DE,00+,2023-12-07,2023-12-24,3,quantile,0.75,24035.15
DE,00+,2023-12-07,2023-12-24,3,quantile,0.9,26060.67
DE,00+,2023-12-07,2023-12-24,3,quantile,0.975,28479.45
DE,00+,2023-12-07,2023-12-31,4,quantile,0.025,18228.267499999998
DE,00+,2023-12-07,2023-12-31,4,quantile,0.1,20165.8
DE,00+,2023-12-07,2023-12-31,4,quantile,0.25,22010.875
DE,00+,2023-12-07,2023-12-31,4,quantile,0.5,24188.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.75,26521.6
DE,00+,2023-12-07,2023-12-31,4,quantile,0.9,28753.8
DE,00+,2023-12-07,2023-12-31,4,quantile,0.975,31392.04
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.025,3158.495
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.1,3731.4900000000002
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.25,4299.9
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.5,5002.7
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.75,5781.725
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.9,6549.41
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.975,7501.5250000000015
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.025,3958.8775
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.1,4657.0599999999995
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.25,5359.7
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.5,6226.8
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.75,7182.425
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.9,8134.42
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.975,9292.817500000001
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.025,4943.9800000000005
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.1,5798.280000000001
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.25,6642.75
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.5,7678.15
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.75,8826.025
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.9,9949.91
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.975,11325.320000000002
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.025,5355.0875
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.1,6298.469999999999
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.25,7236.8
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.5,8378.8
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.75,9642.725
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.9,10884.42
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.975,12389.527500000002
DE,05-14,2023-12-07,2023-12-10,1,quantile,0.025,528.6
DE,05-14,2023-12-07,2023-12-10,1,quantile,0.1,660.48
DE,05-14,2023-12-07,2023-12-10,1,quantile,0.25,796.7
