location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-02-01,2024-02-04,1,quantile,0.025,13495.865
DE,00+,2024-02-01,2024-02-04,1,quantile,0.1,15888.220000000001
DE,00+,2024-02-01,2024-02-04,1,quantile,0.25,18275.625
DE,00+,2024-02-01,2024-02-04,1,quantile,0.5,21208.65
DE,00+,2024-02-01,2024-02-04,1,quantile,0.75,24460.25
DE,00+,2024-02-01,2024-02-04,1,quantile,0.9,27643.489999999998
DE,00+,2024-02-01,2024-02-04,1,quantile,0.975,31561.840000000004
DE,00+,2024-02-01,2024-02-11,2,quantile,0.025,13010.6725
DE,00+,2024-02-01,2024-02-11,2,quantile,0.1,15300.779999999999
DE,00+,2024-02-01,2024-02-11,2,quantile,0.25,17599.35
DE,00+,2024-02-01,2024-02-11,2,quantile,0.5,20418.75
DE,00+,2024-02-01,2024-02-11,2,quantile,0.75,23525.525
DE,00+,2024-02-01,2024-02-11,2,quantile,0.9,26602.48
DE,00+,2024-02-01,2024-02-11,2,quantile,0.975,30352.99
DE,00+,2024-02-01,2024-02-18,3,quantile,0.025,13692.2775
DE,00+,2024-02-01,2024-02-18,3,quantile,0.1,16145.820000000002
DE,00+,2024-02-01,2024-02-18,3,quantile,0.25,18608.05
DE,00+,2024-02-01,2024-02-18,3,quantile,0.5,21634.95
DE,00+,2024-02-01,2024-02-18,3,quantile,0.75,24949.075
DE,00+,2024-02-01,2024-02-18,3,quantile,0.9,28233.35
DE,00+,2024-02-01,2024-02-18,3,quantile,0.975,32242.387500000004
DE,00+,2024-02-01,2024-02-25,4,quantile,0.025,11806.869999999999
DE,00+,2024-02-01,2024-02-25,4,quantile,0.1,13996.35
DE,00+,2024-02-01,2024-02-25,4,quantile,0.25,16180.875
DE,00+,2024-02-01,2024-02-25,4,quantile,0.5,18848.1
DE,00+,2024-02-01,2024-02-25,4,quantile,0.75,21810.25
DE,00+,2024-02-01,2024-02-25,4,quantile,0.9,24729.469999999998
DE,00+,2024-02-01,2024-02-25,4,quantile,0.975,28240.855000000003
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.025,1831.9900000000002
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.1,2509.08
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.25,3247.475
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.5,4234.75
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.75,5412.625
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.9,6627.82
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.975,8216.435000000001
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.025,1658.985
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.1,2273.4
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.25,2948.675
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.5,3842.25
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.75,4905.95
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.9,6017.719999999999
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.975,7438.817500000002
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.025,1511.2975000000001
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.1,2093.1
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.25,2738.05
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.5,3600.45
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.75,4632.35
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.9,5701.74
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.975,7078.225000000001
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.025,1227.59
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.1,1741.58
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.25,2314.6
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.5,3078.05
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.75,4004.0
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.9,4986.0599999999995
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.975,6243.8150000000005
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.025,219.795
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.1,327.98
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.25,451.8
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.5,625.6
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.75,839.8
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.9,1070.7
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.975,1373.0100000000007
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.025,197.4975
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.1,300.1
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.25,420.2
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.5,589.8
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.75,798.825
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.9,1024.5099999999998
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.975,1323.1050000000002
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.025,182.9
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.1,280.29
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.25,392.875
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.5,551.85
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.75,752.0
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.9,968.6099999999999
DE,05-14,2024-02-01,2024-02-18,3,quantile,0.975,1250.3
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.025,157.1975
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.1,242.6
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.25,345.0
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.5,489.45
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.75,670.725
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.9,867.9099999999999
DE,05-14,2024-02-01,2024-02-25,4,quantile,0.975,1126.3025000000002
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.025,490.1
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.1,625.5
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.25,766.2
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.5,949.05
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.75,1157.025
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.9,1370.0099999999998
DE,15-34,2024-02-01,2024-02-04,1,quantile,0.975,1634.1025000000002
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.025,490.695
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.1,634.79
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.25,786.6
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.5,981.1
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.75,1206.425
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.9,1437.1
DE,15-34,2024-02-01,2024-02-11,2,quantile,0.975,1724.4075000000005
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.025,480.8
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.1,619.39
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.25,765.275
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.5,953.7
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.75,1170.0
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.9,1390.0099999999998
DE,15-34,2024-02-01,2024-02-18,3,quantile,0.975,1666.0050000000003
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.025,434.4
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.1,560.6
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.25,694.3
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.5,866.9
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.75,1065.5
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.9,1268.0
DE,15-34,2024-02-01,2024-02-25,4,quantile,0.975,1522.9050000000002
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.025,1702.89
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.1,2060.4900000000002
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.25,2423.6
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.5,2876.7
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.75,3385.8
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.9,3893.6
DE,35-59,2024-02-01,2024-02-04,1,quantile,0.975,4515.215000000001
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.025,1748.2975
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.1,2125.4900000000002
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.25,2501.9
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.5,2972.55
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.75,3498.1
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.9,4022.91
DE,35-59,2024-02-01,2024-02-11,2,quantile,0.975,4670.817500000001
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.025,1881.4924999999998
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.1,2285.1
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.25,2690.3
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.5,3198.2
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.75,3767.625
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.9,4332.11
DE,35-59,2024-02-01,2024-02-18,3,quantile,0.975,5033.812500000001
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.025,1664.6950000000002
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.1,2028.7
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.25,2393.9
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.5,2851.6
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.75,3364.225
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.9,3873.21
DE,35-59,2024-02-01,2024-02-25,4,quantile,0.975,4517.210000000001
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.025,3556.1925
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.1,4189.59
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.25,4819.525
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.5,5598.8
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.75,6464.2
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.9,7316.529999999999
DE,60-79,2024-02-01,2024-02-04,1,quantile,0.975,8357.227500000003
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.025,3499.595
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.1,4158.1900000000005
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.25,4813.7
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.5,5620.5
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.75,6516.75
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.9,7399.029999999999
DE,60-79,2024-02-01,2024-02-11,2,quantile,0.975,8483.4225
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.025,3743.095
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.1,4438.79
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.25,5139.95
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.5,6009.0
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.75,6974.9
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.9,7934.85
DE,60-79,2024-02-01,2024-02-18,3,quantile,0.975,9118.517500000002
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.025,3317.8900000000003
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.1,3948.69
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.25,4579.875
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.5,5357.4
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.75,6222.525
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.9,7070.829999999999
DE,60-79,2024-02-01,2024-02-25,4,quantile,0.975,8130.3150000000005
DE,80+,2024-02-01,2024-02-04,1,quantile,0.025,3209.185
DE,80+,2024-02-01,2024-02-04,1,quantile,0.1,3801.1
DE,80+,2024-02-01,2024-02-04,1,quantile,0.25,4387.0
DE,80+,2024-02-01,2024-02-04,1,quantile,0.5,5114.2
DE,80+,2024-02-01,2024-02-04,1,quantile,0.75,5915.875
DE,80+,2024-02-01,2024-02-04,1,quantile,0.9,6707.81
DE,80+,2024-02-01,2024-02-04,1,quantile,0.975,7670.31
DE,80+,2024-02-01,2024-02-11,2,quantile,0.025,3116.3900000000003
DE,80+,2024-02-01,2024-02-11,2,quantile,0.1,3710.4800000000005
DE,80+,2024-02-01,2024-02-11,2,quantile,0.25,4304.9
DE,80+,2024-02-01,2024-02-11,2,quantile,0.5,5034.7
DE,80+,2024-02-01,2024-02-11,2,quantile,0.75,5848.1
DE,80+,2024-02-01,2024-02-11,2,quantile,0.9,6652.159999999999
DE,80+,2024-02-01,2024-02-11,2,quantile,0.975,7617.615000000001
DE,80+,2024-02-01,2024-02-18,3,quantile,0.025,3214.0875
DE,80+,2024-02-01,2024-02-18,3,quantile,0.1,3824.09
DE,80+,2024-02-01,2024-02-18,3,quantile,0.25,4433.4
DE,80+,2024-02-01,2024-02-18,3,quantile,0.5,5185.5
DE,80+,2024-02-01,2024-02-18,3,quantile,0.75,6015.8
DE,80+,2024-02-01,2024-02-18,3,quantile,0.9,6841.32
DE,80+,2024-02-01,2024-02-18,3,quantile,0.975,7834.717500000002
DE,80+,2024-02-01,2024-02-25,4,quantile,0.025,2899.7925
DE,80+,2024-02-01,2024-02-25,4,quantile,0.1,3470.3
DE,80+,2024-02-01,2024-02-25,4,quantile,0.25,4042.175
DE,80+,2024-02-01,2024-02-25,4,quantile,0.5,4745.1
DE,80+,2024-02-01,2024-02-25,4,quantile,0.75,5526.8
DE,80+,2024-02-01,2024-02-25,4,quantile,0.9,6297.539999999999
DE,80+,2024-02-01,2024-02-25,4,quantile,0.975,7242.615000000001
