location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-09-12,2024-09-15,1,quantile,0.025,7813.69
DE,00+,2024-09-12,2024-09-15,1,quantile,0.1,8787.9
DE,00+,2024-09-12,2024-09-15,1,quantile,0.25,9724.975
DE,00+,2024-09-12,2024-09-15,1,quantile,0.5,10846.75
DE,00+,2024-09-12,2024-09-15,1,quantile,0.75,12051.425
DE,00+,2024-09-12,2024-09-15,1,quantile,0.9,13208.810000000001
DE,00+,2024-09-12,2024-09-15,1,quantile,0.975,14605.030000000002
DE,00+,2024-09-12,2024-09-22,2,quantile,0.025,7878.977499999999
DE,00+,2024-09-12,2024-09-22,2,quantile,0.1,8877.689999999999
DE,00+,2024-09-12,2024-09-22,2,quantile,0.25,9845.675
DE,00+,2024-09-12,2024-09-22,2,quantile,0.5,11004.85
DE,00+,2024-09-12,2024-09-22,2,quantile,0.75,12248.1
DE,00+,2024-09-12,2024-09-22,2,quantile,0.9,13444.220000000001
DE,00+,2024-09-12,2024-09-22,2,quantile,0.975,14873.232500000002
DE,00+,2024-09-12,2024-09-29,3,quantile,0.025,7988.18
DE,00+,2024-09-12,2024-09-29,3,quantile,0.1,8991.380000000001
DE,00+,2024-09-12,2024-09-29,3,quantile,0.25,9955.275
DE,00+,2024-09-12,2024-09-29,3,quantile,0.5,11117.35
DE,00+,2024-09-12,2024-09-29,3,quantile,0.75,12364.375
DE,00+,2024-09-12,2024-09-29,3,quantile,0.9,13556.11
DE,00+,2024-09-12,2024-09-29,3,quantile,0.975,14982.820000000002
DE,00+,2024-09-12,2024-10-06,4,quantile,0.025,7788.3875
DE,00+,2024-09-12,2024-10-06,4,quantile,0.1,8784.26
DE,00+,2024-09-12,2024-10-06,4,quantile,0.25,9744.7
DE,00+,2024-09-12,2024-10-06,4,quantile,0.5,10889.1
DE,00+,2024-09-12,2024-10-06,4,quantile,0.75,12126.9
DE,00+,2024-09-12,2024-10-06,4,quantile,0.9,13321.14
DE,00+,2024-09-12,2024-10-06,4,quantile,0.975,14739.022500000001
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.025,520.1
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.1,656.1
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.25,797.6
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.5,976.45
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.75,1181.925
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.9,1389.0
DE,00-04,2024-09-12,2024-09-15,1,quantile,0.975,1645.8100000000006
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.025,523.5
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.1,663.0
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.25,808.4
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.5,993.1
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.75,1204.2
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.9,1417.7
DE,00-04,2024-09-12,2024-09-22,2,quantile,0.975,1687.5075000000004
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.025,526.4
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.1,665.3
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.25,809.975
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.5,994.5
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.75,1205.325
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.9,1417.8
DE,00-04,2024-09-12,2024-09-29,3,quantile,0.975,1681.1
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.025,514.8
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.1,652.2
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.25,795.7
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.5,979.0
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.75,1188.15
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.9,1400.0099999999998
DE,00-04,2024-09-12,2024-10-06,4,quantile,0.975,1661.3075000000003
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.025,369.895
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.1,472.0
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.25,578.7
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.5,714.8
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.75,871.4
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.9,1030.5099999999998
DE,05-14,2024-09-12,2024-09-15,1,quantile,0.975,1228.1025000000002
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.025,348.5
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.1,448.7
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.25,553.1
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.5,686.15
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.75,840.5
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.9,995.5199999999998
DE,05-14,2024-09-12,2024-09-22,2,quantile,0.975,1190.9050000000002
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.025,361.6925
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.1,462.2
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.25,566.375
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.5,700.6
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.75,854.9
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.9,1010.8099999999998
DE,05-14,2024-09-12,2024-09-29,3,quantile,0.975,1204.9025000000001
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.025,335.195
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.1,430.6
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.25,530.8
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.5,660.1
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.75,807.9
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.9,959.0
DE,05-14,2024-09-12,2024-10-06,4,quantile,0.975,1146.3025000000002
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.025,496.7975
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.1,605.3
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.25,717.0
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.5,855.3
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.75,1010.8
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.9,1164.8
DE,15-34,2024-09-12,2024-09-15,1,quantile,0.975,1354.9025000000001
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.025,483.9
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.1,591.1
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.25,701.2
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.5,838.7
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.75,993.1
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.9,1147.4
DE,15-34,2024-09-12,2024-09-22,2,quantile,0.975,1335.9025000000001
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.025,501.89750000000004
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.1,611.5
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.25,722.6
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.5,861.25
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.75,1017.2
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.9,1172.4099999999999
DE,15-34,2024-09-12,2024-09-29,3,quantile,0.975,1364.4025000000001
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.025,482.69750000000005
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.1,590.2
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.25,698.9
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.5,834.1
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.75,986.8
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.9,1138.2
DE,15-34,2024-09-12,2024-10-06,4,quantile,0.975,1325.1
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.025,936.3
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.1,1076.8
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.25,1214.25
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.5,1380.8
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.75,1561.2
DE,35-59,2024-09-12,2024-09-15,1,quantile,0.9,1737.1299999999997
