location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-02-01,2024-02-04,1,quantile,0.025,15766.66
DE,00+,2024-02-01,2024-02-04,1,quantile,0.1,17827.3
DE,00+,2024-02-01,2024-02-04,1,quantile,0.25,19650.35
DE,00+,2024-02-01,2024-02-04,1,quantile,0.5,21837.45
DE,00+,2024-02-01,2024-02-04,1,quantile,0.75,24153.15
DE,00+,2024-02-01,2024-02-04,1,quantile,0.9,26372.329999999998
DE,00+,2024-02-01,2024-02-04,1,quantile,0.975,29124.405
DE,00+,2024-02-01,2024-02-11,2,quantile,0.025,15675.982500000002
DE,00+,2024-02-01,2024-02-11,2,quantile,0.1,17519.329999999998
DE,00+,2024-02-01,2024-02-11,2,quantile,0.25,19326.85
DE,00+,2024-02-01,2024-02-11,2,quantile,0.5,21503.6
DE,00+,2024-02-01,2024-02-11,2,quantile,0.75,23789.675
DE,00+,2024-02-01,2024-02-11,2,quantile,0.9,25963.760000000002
DE,00+,2024-02-01,2024-02-11,2,quantile,0.975,28559.257499999996
DE,00+,2024-02-01,2024-02-18,3,quantile,0.025,13959.747500000001
DE,00+,2024-02-01,2024-02-18,3,quantile,0.1,15726.570000000002
DE,00+,2024-02-01,2024-02-18,3,quantile,0.25,17452.95
DE,00+,2024-02-01,2024-02-18,3,quantile,0.5,19467.0
DE,00+,2024-02-01,2024-02-18,3,quantile,0.75,21692.45
DE,00+,2024-02-01,2024-02-18,3,quantile,0.9,23794.4
DE,00+,2024-02-01,2024-02-18,3,quantile,0.975,26342.767499999998
DE,00+,2024-02-01,2024-02-25,4,quantile,0.025,11770.732500000002
DE,00+,2024-02-01,2024-02-25,4,quantile,0.1,13395.8
DE,00+,2024-02-01,2024-02-25,4,quantile,0.25,14973.3
DE,00+,2024-02-01,2024-02-25,4,quantile,0.5,16859.1
DE,00+,2024-02-01,2024-02-25,4,quantile,0.75,18795.85
DE,00+,2024-02-01,2024-02-25,4,quantile,0.9,20768.5
DE,00+,2024-02-01,2024-02-25,4,quantile,0.975,23066.17
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.025,1986.53
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.1,2467.62
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.25,2989.3
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.5,3644.3
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.75,4374.625
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.9,5124.610000000001
DE,00-04,2024-02-01,2024-02-04,1,quantile,0.975,6049.5925
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.025,1789.6075
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.1,2251.54
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.25,2756.05
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.5,3411.1
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.75,4121.925
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.9,4841.07
DE,00-04,2024-02-01,2024-02-11,2,quantile,0.975,5757.589999999999
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.025,1263.215
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.1,1638.4
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.25,2036.1
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.5,2571.2
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.75,3201.925
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.9,3861.9100000000008
DE,00-04,2024-02-01,2024-02-18,3,quantile,0.975,4661.98
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.025,924.8625
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.1,1225.54
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.25,1549.2
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.5,1993.7
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.75,2513.95
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.9,3060.68
DE,00-04,2024-02-01,2024-02-25,4,quantile,0.975,3745.0724999999998
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.025,438.64250000000004
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.1,590.28
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.25,744.775
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.5,964.45
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.75,1208.95
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.9,1456.45
DE,05-14,2024-02-01,2024-02-04,1,quantile,0.975,1787.7899999999997
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.025,374.90999999999997
DE,05-14,2024-02-01,2024-02-11,2,quantile,0.1,513.9100000000001
