location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-05-09,2024-05-05,0,quantile,0.025,5704.4800000000005
DE,00+,2024-05-09,2024-05-05,0,quantile,0.1,6665.17
DE,00+,2024-05-09,2024-05-05,0,quantile,0.25,7629.575
DE,00+,2024-05-09,2024-05-05,0,quantile,0.5,8795.15
DE,00+,2024-05-09,2024-05-05,0,quantile,0.75,10082.425
DE,00+,2024-05-09,2024-05-05,0,quantile,0.9,11347.429999999998
DE,00+,2024-05-09,2024-05-05,0,quantile,0.975,12871.4225
DE,00+,2024-05-09,2024-05-12,1,quantile,0.025,5718.6825
DE,00+,2024-05-09,2024-05-12,1,quantile,0.1,6689.089999999999
DE,00+,2024-05-09,2024-05-12,1,quantile,0.25,7647.375
DE,00+,2024-05-09,2024-05-12,1,quantile,0.5,8824.1
DE,00+,2024-05-09,2024-05-12,1,quantile,0.75,10110.0
DE,00+,2024-05-09,2024-05-12,1,quantile,0.9,11378.119999999999
DE,00+,2024-05-09,2024-05-12,1,quantile,0.975,12911.720000000001
DE,00+,2024-05-09,2024-05-19,2,quantile,0.025,5344.79
DE,00+,2024-05-09,2024-05-19,2,quantile,0.1,6257.37
DE,00+,2024-05-09,2024-05-19,2,quantile,0.25,7167.6
DE,00+,2024-05-09,2024-05-19,2,quantile,0.5,8280.15
DE,00+,2024-05-09,2024-05-19,2,quantile,0.75,9502.35
DE,00+,2024-05-09,2024-05-19,2,quantile,0.9,10698.210000000001
DE,00+,2024-05-09,2024-05-19,2,quantile,0.975,12164.927500000002
DE,00+,2024-05-09,2024-05-26,3,quantile,0.025,5266.975
DE,00+,2024-05-09,2024-05-26,3,quantile,0.1,6189.58
DE,00+,2024-05-09,2024-05-26,3,quantile,0.25,7092.875
DE,00+,2024-05-09,2024-05-26,3,quantile,0.5,8196.15
DE,00+,2024-05-09,2024-05-26,3,quantile,0.75,9413.6
DE,00+,2024-05-09,2024-05-26,3,quantile,0.9,10605.82
DE,00+,2024-05-09,2024-05-26,3,quantile,0.975,12060.12
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.025,565.7975
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.1,773.0899999999999
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.25,999.1
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.5,1296.1
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.75,1650.7
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.9,2018.5199999999998
DE,00-04,2024-05-09,2024-05-05,0,quantile,0.975,2485.3
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.025,565.295
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.1,770.29
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.25,994.0
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.5,1288.5
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.75,1638.025
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.9,2005.5099999999998
DE,00-04,2024-05-09,2024-05-12,1,quantile,0.975,2468.3100000000004
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.025,516.6975
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.1,708.7
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.25,918.275
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.5,1195.75
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.75,1526.5
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.9,1869.9099999999999
DE,00-04,2024-05-09,2024-05-19,2,quantile,0.975,2305.4075000000003
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.025,497.5
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.1,684.4
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.25,890.375
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.5,1162.6
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.75,1487.0
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.9,1828.0099999999998
DE,00-04,2024-05-09,2024-05-26,3,quantile,0.975,2259.7050000000004
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.025,109.8
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.1,162.4
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.25,222.3
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.5,304.1
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.75,404.4
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.9,510.8199999999997
DE,05-14,2024-05-09,2024-05-05,0,quantile,0.975,649.6
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.025,113.9
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.1,167.6
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.25,228.5
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.5,312.8
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.75,416.0
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.9,525.2
DE,05-14,2024-05-09,2024-05-12,1,quantile,0.975,666.6050000000002
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.025,108.19749999999999
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.1,159.6
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.25,217.9
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.5,298.2
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.75,395.8
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.9,499.40999999999985
DE,05-14,2024-05-09,2024-05-19,2,quantile,0.975,636.9025000000001
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.025,102.8
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.1,152.8
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.25,209.4
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.5,287.6
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.75,383.325
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.9,484.40999999999985
DE,05-14,2024-05-09,2024-05-26,3,quantile,0.975,616.6025000000002
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.025,187.7
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.1,248.1
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.25,312.2
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.5,394.9
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.75,491.6
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.9,590.6099999999999
DE,15-34,2024-05-09,2024-05-05,0,quantile,0.975,715.9
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.025,185.8
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.1,246.0
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.25,310.5
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.5,393.8
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.75,491.1
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.9,592.1
DE,15-34,2024-05-09,2024-05-12,1,quantile,0.975,718.8050000000003
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.025,178.79250000000002
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.1,236.6
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.25,298.6
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.5,379.3
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.75,472.7
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.9,569.6099999999999
DE,15-34,2024-05-09,2024-05-19,2,quantile,0.975,691.8
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.025,173.6975
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.1,229.9
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.25,289.7
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.5,367.95
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.75,459.3
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.9,552.7
DE,15-34,2024-05-09,2024-05-26,3,quantile,0.975,670.2075000000004
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.025,652.2
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.1,802.5899999999999
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.25,955.7
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.5,1147.4
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.75,1362.8
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.9,1577.3
DE,35-59,2024-05-09,2024-05-05,0,quantile,0.975,1841.5
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.025,631.5975000000001
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.1,778.39
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.25,927.8
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.5,1116.45
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.75,1328.0
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.9,1539.11
DE,35-59,2024-05-09,2024-05-12,1,quantile,0.975,1799.7
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.025,600.595
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.1,741.29
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.25,885.4
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.5,1064.9
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.75,1270.3
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.9,1474.0
DE,35-59,2024-05-09,2024-05-19,2,quantile,0.975,1726.7025
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.025,585.9
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.1,723.1
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.25,863.7
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.5,1041.2
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.75,1241.1
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.9,1440.9099999999999
DE,35-59,2024-05-09,2024-05-26,3,quantile,0.975,1690.4050000000002
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.025,1588.6950000000002
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.1,1866.2900000000002
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.25,2136.3
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.5,2468.0
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.75,2829.825
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.9,3185.72
DE,60-79,2024-05-09,2024-05-05,0,quantile,0.975,3614.7050000000004
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.025,1603.095
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.1,1876.0900000000001
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.25,2148.675
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.5,2484.3
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.75,2849.6
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.9,3208.81
DE,60-79,2024-05-09,2024-05-12,1,quantile,0.975,3642.1125000000006
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.025,1504.4975
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.1,1764.77
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.25,2025.6
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.5,2343.2
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.75,2693.4
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.9,3036.0099999999998
DE,60-79,2024-05-09,2024-05-19,2,quantile,0.975,3451.3050000000003
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.025,1479.6975
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.1,1739.1
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.25,1996.075
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.5,2310.4
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.75,2655.4
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.9,2994.0099999999998
DE,60-79,2024-05-09,2024-05-26,3,quantile,0.975,3401.6075000000005
DE,80+,2024-05-09,2024-05-05,0,quantile,0.025,1575.7
DE,80+,2024-05-09,2024-05-05,0,quantile,0.1,1877.3
DE,80+,2024-05-09,2024-05-05,0,quantile,0.25,2171.4
DE,80+,2024-05-09,2024-05-05,0,quantile,0.5,2536.55
DE,80+,2024-05-09,2024-05-05,0,quantile,0.75,2941.7
DE,80+,2024-05-09,2024-05-05,0,quantile,0.9,3338.8
DE,80+,2024-05-09,2024-05-05,0,quantile,0.975,3822.015000000001
DE,80+,2024-05-09,2024-05-12,1,quantile,0.025,1600.3899999999999
DE,80+,2024-05-09,2024-05-12,1,quantile,0.1,1901.3
DE,80+,2024-05-09,2024-05-12,1,quantile,0.25,2203.375
DE,80+,2024-05-09,2024-05-12,1,quantile,0.5,2572.5
DE,80+,2024-05-09,2024-05-12,1,quantile,0.75,2985.3
DE,80+,2024-05-09,2024-05-12,1,quantile,0.9,3389.1099999999997
DE,80+,2024-05-09,2024-05-12,1,quantile,0.975,3873.912500000001
DE,80+,2024-05-09,2024-05-19,2,quantile,0.025,1509.6975
DE,80+,2024-05-09,2024-05-19,2,quantile,0.1,1797.9
DE,80+,2024-05-09,2024-05-19,2,quantile,0.25,2085.7
DE,80+,2024-05-09,2024-05-19,2,quantile,0.5,2440.8
DE,80+,2024-05-09,2024-05-19,2,quantile,0.75,2831.95
DE,80+,2024-05-09,2024-05-19,2,quantile,0.9,3222.22
DE,80+,2024-05-09,2024-05-19,2,quantile,0.975,3690.9025
DE,80+,2024-05-09,2024-05-26,3,quantile,0.025,1478.795
DE,80+,2024-05-09,2024-05-26,3,quantile,0.1,1762.9
DE,80+,2024-05-09,2024-05-26,3,quantile,0.25,2050.6
DE,80+,2024-05-09,2024-05-26,3,quantile,0.5,2400.6
DE,80+,2024-05-09,2024-05-26,3,quantile,0.75,2790.5
DE,80+,2024-05-09,2024-05-26,3,quantile,0.9,3177.9
DE,80+,2024-05-09,2024-05-26,3,quantile,0.975,3644.8075000000003
