location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-01-11,2024-01-14,1,quantile,0.025,10332.55
DE,00+,2024-01-11,2024-01-14,1,quantile,0.1,12033.619999999999
DE,00+,2024-01-11,2024-01-14,1,quantile,0.25,13620.425
DE,00+,2024-01-11,2024-01-14,1,quantile,0.5,15614.2
DE,00+,2024-01-11,2024-01-14,1,quantile,0.75,17799.475
DE,00+,2024-01-11,2024-01-14,1,quantile,0.9,20000.07
DE,00+,2024-01-11,2024-01-14,1,quantile,0.975,22516.1875
DE,00+,2024-01-11,2024-01-21,2,quantile,0.025,9727.52
DE,00+,2024-01-11,2024-01-21,2,quantile,0.1,11243.67
DE,00+,2024-01-11,2024-01-21,2,quantile,0.25,12790.0
DE,00+,2024-01-11,2024-01-21,2,quantile,0.5,14677.3
DE,00+,2024-01-11,2024-01-21,2,quantile,0.75,16778.15
DE,00+,2024-01-11,2024-01-21,2,quantile,0.9,18770.46
DE,00+,2024-01-11,2024-01-21,2,quantile,0.975,21328.797499999997
DE,00+,2024-01-11,2024-01-28,3,quantile,0.025,9839.475
DE,00+,2024-01-11,2024-01-28,3,quantile,0.1,11389.02
DE,00+,2024-01-11,2024-01-28,3,quantile,0.25,12971.425
DE,00+,2024-01-11,2024-01-28,3,quantile,0.5,14889.25
DE,00+,2024-01-11,2024-01-28,3,quantile,0.75,16929.05
DE,00+,2024-01-11,2024-01-28,3,quantile,0.9,18985.890000000003
DE,00+,2024-01-11,2024-01-28,3,quantile,0.975,21417.3875
DE,00+,2024-01-11,2024-02-04,4,quantile,0.025,10885.539999999999
DE,00+,2024-01-11,2024-02-04,4,quantile,0.1,12617.86
DE,00+,2024-01-11,2024-02-04,4,quantile,0.25,14320.625
DE,00+,2024-01-11,2024-02-04,4,quantile,0.5,16386.1
DE,00+,2024-01-11,2024-02-04,4,quantile,0.75,18710.35
DE,00+,2024-01-11,2024-02-04,4,quantile,0.9,20977.64
DE,00+,2024-01-11,2024-02-04,4,quantile,0.975,23552.629999999997
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.025,1676.8349999999998
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.1,2167.9700000000003
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.25,2711.225
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.5,3428.6
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.75,4250.15
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.9,5041.7
DE,00-04,2024-01-11,2024-01-14,1,quantile,0.975,6065.107499999999
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.025,1602.225
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.1,2117.58
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.25,2632.45
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.5,3322.5
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.75,4125.8
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.9,4922.710000000001
DE,00-04,2024-01-11,2024-01-21,2,quantile,0.975,5989.119999999999
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.025,1557.41
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.1,2084.37
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.25,2618.425
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.5,3282.2
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.75,4050.9
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.9,4860.01
DE,00-04,2024-01-11,2024-01-28,3,quantile,0.975,5864.86
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.025,1904.0825
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.1,2407.15
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.25,3005.55
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.5,3751.75
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.75,4654.6
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.9,5535.08
DE,00-04,2024-01-11,2024-02-04,4,quantile,0.975,6679.477499999999
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.025,226.95
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.1,323.94
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.25,433.05
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.5,579.7
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.75,756.325
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.9,947.9799999999999
DE,05-14,2024-01-11,2024-01-14,1,quantile,0.975,1187.9624999999996
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.025,204.66500000000002
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.1,293.9
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.25,398.675
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.5,545.25
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.75,719.975
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.9,903.6299999999999
DE,05-14,2024-01-11,2024-01-21,2,quantile,0.975,1137.9099999999999
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.025,221.84499999999997
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.1,313.17999999999995
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.25,417.0
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.5,563.9
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.75,736.6
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.9,918.5
DE,05-14,2024-01-11,2024-01-28,3,quantile,0.975,1160.605
DE,05-14,2024-01-11,2024-02-04,4,quantile,0.025,233.4725
DE,05-14,2024-01-11,2024-02-04,4,quantile,0.1,338.48
DE,05-14,2024-01-11,2024-02-04,4,quantile,0.25,457.175
DE,05-14,2024-01-11,2024-02-04,4,quantile,0.5,615.55
DE,05-14,2024-01-11,2024-02-04,4,quantile,0.75,813.425
