location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-07-18,2024-07-14,0,quantile,0.025,8256.971731299021
DE,00+,2024-07-18,2024-07-14,0,quantile,0.1,8846.26350286216
DE,00+,2024-07-18,2024-07-14,0,quantile,0.25,9280.486685737855
DE,00+,2024-07-18,2024-07-14,0,quantile,0.5,9669.972138663126
DE,00+,2024-07-18,2024-07-14,0,quantile,0.75,10332.75814055259
DE,00+,2024-07-18,2024-07-14,0,quantile,0.9,11352.80503262976
DE,00+,2024-07-18,2024-07-14,0,quantile,0.975,12560.133968275979
DE,00+,2024-07-18,2024-07-21,1,quantile,0.025,7744.623308662439
DE,00+,2024-07-18,2024-07-21,1,quantile,0.1,8616.668779336862
DE,00+,2024-07-18,2024-07-21,1,quantile,0.25,8988.13870634629
DE,00+,2024-07-18,2024-07-21,1,quantile,0.5,9470.71770880957
DE,00+,2024-07-18,2024-07-21,1,quantile,0.75,10294.733417872005
DE,00+,2024-07-18,2024-07-21,1,quantile,0.9,11385.725727216754
DE,00+,2024-07-18,2024-07-21,1,quantile,0.975,13144.084894270214
DE,00+,2024-07-18,2024-07-28,2,quantile,0.025,7488.865246651211
DE,00+,2024-07-18,2024-07-28,2,quantile,0.1,8451.047735543176
DE,00+,2024-07-18,2024-07-28,2,quantile,0.25,8825.290628939583
DE,00+,2024-07-18,2024-07-28,2,quantile,0.5,9166.3885065667
DE,00+,2024-07-18,2024-07-28,2,quantile,0.75,9895.21871665379
DE,00+,2024-07-18,2024-07-28,2,quantile,0.9,10879.911026362246
DE,00+,2024-07-18,2024-07-28,2,quantile,0.975,13745.059528205005
DE,00+,2024-07-18,2024-08-04,3,quantile,0.025,7491.740839608664
DE,00+,2024-07-18,2024-08-04,3,quantile,0.1,8375.472066284769
DE,00+,2024-07-18,2024-08-04,3,quantile,0.25,8747.045201186997
DE,00+,2024-07-18,2024-08-04,3,quantile,0.5,9007.298234001119
DE,00+,2024-07-18,2024-08-04,3,quantile,0.75,9447.789604810943
DE,00+,2024-07-18,2024-08-04,3,quantile,0.9,10620.91802809143
DE,00+,2024-07-18,2024-08-04,3,quantile,0.975,14075.909096081567
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.025,826.564764183576
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.1,856.419497496447
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.25,893.7806539687033
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.5,1013.4103084563901
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.75,1111.900996535434
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.9,1414.7266104351638
DE,00-04,2024-07-18,2024-07-14,0,quantile,0.975,1777.134749464521
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.025,681.0534994360855
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.1,806.2933107795559
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.25,850.0543496027403
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.5,888.8035195063907
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.75,970.6957015939767
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.9,1563.9251913185192
DE,00-04,2024-07-18,2024-07-21,1,quantile,0.975,1808.9817176188474
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.025,676.6720608998959
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.1,797.4074209660921
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.25,833.9565143259866
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.5,874.1746372620564
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.75,1001.8819835916623
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.9,1314.6292240387818
DE,00-04,2024-07-18,2024-07-28,2,quantile,0.975,1612.9460345714563
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.025,586.539010367727
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.1,772.8656393936274
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.25,835.568425803024
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.5,923.8964236480651
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.75,1073.949936500875
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.9,1305.1716119844596
DE,00-04,2024-07-18,2024-08-04,3,quantile,0.975,2537.341891673431
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.025,182.10430419198596
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.1,400.31000330227846
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.25,530.2213370827543
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.5,630.369620900188
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.75,706.9358746295409
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.9,776.1042366541444
DE,05-14,2024-07-18,2024-07-14,0,quantile,0.975,805.7412362497419
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.025,144.75648085841505
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.1,390.6002626434851
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.25,516.5681469410662
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.5,603.6131783131765
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.75,677.2389075753134
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.9,759.3435405651447
DE,05-14,2024-07-18,2024-07-21,1,quantile,0.975,828.1721312288475
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.025,141.0165868705453
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.1,361.4374413312919
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.25,460.7923135031791
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.5,511.588040448897
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.75,558.6084620622207
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.9,652.0847863659096
DE,05-14,2024-07-18,2024-07-28,2,quantile,0.975,738.7268542332848
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.025,129.26430863247884
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.1,329.3740167868612
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.25,466.8073613012033
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.5,511.51989930819263
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.75,544.6245464937753
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.9,661.7743868560859
DE,05-14,2024-07-18,2024-08-04,3,quantile,0.975,796.356555807143
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.025,291.9695007827322
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.1,463.28384671641896
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.25,573.8766072685646
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.5,683.8915415934437
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.75,758.3844713254665
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.9,874.9312273627669
DE,15-34,2024-07-18,2024-07-14,0,quantile,0.975,1063.2265427103894
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.025,286.56469381124765
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.1,468.50517988941084
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.25,562.6050210247492
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.5,590.431729572632
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.75,653.861574714326
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.9,785.0584115388148
DE,15-34,2024-07-18,2024-07-21,1,quantile,0.975,848.9522596794707
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.025,271.6133758097948
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.1,433.38249069076375
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.25,575.7000655314356
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.5,609.820798319633
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.75,679.8853801516477
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.9,782.3885931444958
DE,15-34,2024-07-18,2024-07-28,2,quantile,0.975,798.8014527384216
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.025,230.30173028840258
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.1,351.76257592691206
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.25,520.5792705499247
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.5,633.90272326326
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.75,685.5720266504849
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.9,770.8714968805139
DE,15-34,2024-07-18,2024-08-04,3,quantile,0.975,795.9178489728697
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.025,980.3048487697681
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.1,1089.3221402573938
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.25,1144.9610996213987
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.5,1181.5553860038835
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.75,1234.163121896659
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.9,1358.222619790025
DE,35-59,2024-07-18,2024-07-14,0,quantile,0.975,1641.4987283324167
DE,35-59,2024-07-18,2024-07-21,1,quantile,0.025,935.6287124566019
DE,35-59,2024-07-18,2024-07-21,1,quantile,0.1,1037.5206289447992
DE,35-59,2024-07-18,2024-07-21,1,quantile,0.25,1079.3382663770994
