location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-02-08,2024-02-11,1,quantile,0.025,9084.815849906076
DE,00+,2024-02-08,2024-02-11,1,quantile,0.1,12829.827899460139
DE,00+,2024-02-08,2024-02-11,1,quantile,0.25,17520.301663285598
DE,00+,2024-02-08,2024-02-11,1,quantile,0.5,20790.284773601317
DE,00+,2024-02-08,2024-02-11,1,quantile,0.75,22237.50514295683
DE,00+,2024-02-08,2024-02-11,1,quantile,0.9,24656.828668048907
DE,00+,2024-02-08,2024-02-11,1,quantile,0.975,25901.341820029033
DE,00+,2024-02-08,2024-02-18,2,quantile,0.025,8359.40145170344
DE,00+,2024-02-08,2024-02-18,2,quantile,0.1,11805.011818963632
DE,00+,2024-02-08,2024-02-18,2,quantile,0.25,16106.484595710786
DE,00+,2024-02-08,2024-02-18,2,quantile,0.5,19275.349857437133
DE,00+,2024-02-08,2024-02-18,2,quantile,0.75,22288.47707944434
DE,00+,2024-02-08,2024-02-18,2,quantile,0.9,25624.88662276841
DE,00+,2024-02-08,2024-02-18,2,quantile,0.975,28259.151707620807
DE,00+,2024-02-08,2024-02-25,3,quantile,0.025,8744.147504944605
DE,00+,2024-02-08,2024-02-25,3,quantile,0.1,11455.232491245453
DE,00+,2024-02-08,2024-02-25,3,quantile,0.25,14337.353635653611
DE,00+,2024-02-08,2024-02-25,3,quantile,0.5,17335.711040324055
DE,00+,2024-02-08,2024-02-25,3,quantile,0.75,19873.169381655465
DE,00+,2024-02-08,2024-02-25,3,quantile,0.9,23979.218932378793
DE,00+,2024-02-08,2024-02-25,3,quantile,0.975,27053.783157221147
DE,00+,2024-02-08,2024-03-03,4,quantile,0.025,8603.709425338375
DE,00+,2024-02-08,2024-03-03,4,quantile,0.1,10451.0969062262
DE,00+,2024-02-08,2024-03-03,4,quantile,0.25,13124.291597065205
DE,00+,2024-02-08,2024-03-03,4,quantile,0.5,15223.851232576408
DE,00+,2024-02-08,2024-03-03,4,quantile,0.75,17867.37660039815
DE,00+,2024-02-08,2024-03-03,4,quantile,0.9,21348.24791049271
DE,00+,2024-02-08,2024-03-03,4,quantile,0.975,26403.78807205194
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.025,887.8263505414267
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.1,2259.369609781168
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.25,3152.8959777799396
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.5,3267.9983943078164
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.75,3647.5264384754037
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.9,4457.140773621896
DE,00-04,2024-02-08,2024-02-11,1,quantile,0.975,5164.14613100486
DE,00-04,2024-02-08,2024-02-18,2,quantile,0.025,773.960236332747
DE,00-04,2024-02-08,2024-02-18,2,quantile,0.1,1869.5356222289458
DE,00-04,2024-02-08,2024-02-18,2,quantile,0.25,2813.377982598581
DE,00-04,2024-02-08,2024-02-18,2,quantile,0.5,3190.484889944879
DE,00-04,2024-02-08,2024-02-18,2,quantile,0.75,3383.472598355604
