"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"DE","00+",2024-06-20,2024-06-16,0,"mean",NA,9198
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.025,8469
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.05,8565
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.075,8631
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.1,8683
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.125,8728
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.15,8768
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.175,8804
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.2,8837
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.225,8869
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.25,8899
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.275,8928
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.3,8956
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.325,8983
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.35,9010
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.375,9036
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.4,9062
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.425,9088
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.45,9113
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.475,9139
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.5,9165
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.525,9192
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.55,9218
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.575,9245
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.6,9273
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.625,9301
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.65,9331
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.675,9361
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.7,9393
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.725,9426
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.75,9462
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.775,9499
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.8,9540
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.825,9584
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.85,9633
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.875,9689
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.9,9754
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.925,9835
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.95,9942
"DE","00+",2024-06-20,2024-06-16,0,"quantile",0.975,10112
"DE","00+",2024-06-20,2024-06-09,-1,"mean",NA,9243
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.025,8793
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.05,8834
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.075,8865
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.1,8891
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.125,8914
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.15,8936
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.175,8956
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.2,8975
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.225,8994
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.25,9012
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.275,9029
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.3,9047
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.325,9064
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.35,9082
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.375,9099
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.4,9116
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.425,9134
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.45,9152
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.475,9170
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.5,9188
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.525,9207
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.55,9227
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.575,9247
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.6,9267
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.625,9289
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.65,9312
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.675,9335
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.7,9360
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.725,9387
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.75,9415
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.775,9446
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.8,9479
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.825,9517
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.85,9559
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.875,9607
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.9,9665
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.925,9738
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.95,9837
"DE","00+",2024-06-20,2024-06-09,-1,"quantile",0.975,10000
"DE","00+",2024-06-20,2024-06-02,-2,"mean",NA,9768
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.025,9560
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.05,9561
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.075,9563
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.1,9565
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.125,9567
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.15,9570
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.175,9573
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.2,9577
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.225,9581
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.25,9586
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.275,9591
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.3,9597
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.325,9603
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.35,9610
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.375,9617
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.4,9625
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.425,9634
"DE","00+",2024-06-20,2024-06-02,-2,"quantile",0.45,9643
