age_group,model,spread,overprediction,underprediction,wis,ae,c50,c95
00-04,Nowcast,15.047,48.061,5.485,68.593,110.083,0.315,0.738
00-04,TSMixer-Oracle,114.349,45.475,66.199,226.024,414.234,0.506,0.976
00-04,TSMixer-Discard,119.553,53.170,55.307,228.030,415.145,0.500,0.976
00-04,TSMixer-Naive,105.995,32.660,100.131,238.786,456.499,0.429,0.964
00-04,LightGBM-Oracle,93.539,39.242,110.594,243.375,394.917,0.395,0.907
00-04,LightGBM-Discard,97.916,46.111,100.452,244.478,386.625,0.442,0.895
00-04,LightGBM,103.939,53.413,91.588,248.940,378.071,0.430,0.913
00-04,TSMixer,123.678,86.555,49.389,259.621,480.780,0.518,0.970
00-04,LightGBM-NoCovariates,112.682,60.162,90.226,263.069,400.135,0.417,0.875
00-04,LightGBM-NoCovid,74.952,106.604,91.226,272.781,467.673,0.179,0.690
00-04,LightGBM-Naive,85.693,21.973,192.066,299.732,454.812,0.349,0.860
00-04,Persistence,91.707,154.975,78.587,325.269,579.619,0.302,0.786
05-14,Nowcast,5.299,16.520,2.444,24.264,37.726,0.435,0.750
05-14,Persistence,32.940,70.542,40.379,143.860,236.222,0.294,0.675
05-14,LightGBM-NoCovariates,37.873,8.266,97.847,143.986,221.870,0.357,0.815
05-14,LightGBM-NoCovid,22.621,6.918,115.108,144.647,219.590,0.220,0.726
05-14,LightGBM-Discard,30.994,7.684,106.100,144.778,217.867,0.291,0.750
05-14,LightGBM,33.130,8.102,104.768,146.001,222.196,0.349,0.797
05-14,LightGBM-Oracle,30.093,6.254,114.053,150.401,222.145,0.273,0.744
05-14,TSMixer-Discard,39.145,6.838,104.947,150.930,262.493,0.339,0.786
05-14,TSMixer,40.226,9.427,102.414,152.067,257.743,0.363,0.756
05-14,TSMixer-Oracle,37.579,4.534,115.364,157.477,261.188,0.375,0.738
05-14,LightGBM-Naive,26.423,3.264,146.460,176.147,251.899,0.163,0.674
05-14,TSMixer-Naive,34.546,3.629,145.305,183.480,293.895,0.286,0.661
15-34,Nowcast,5.632,10.361,14.512,30.505,46.429,0.387,0.768
15-34,Persistence,33.985,50.041,63.598,147.623,231.103,0.349,0.770
15-34,TSMixer-Discard,36.481,5.622,114.179,156.282,283.733,0.202,0.708
15-34,TSMixer,37.182,8.320,114.896,160.398,282.949,0.214,0.720
15-34,TSMixer-Oracle,35.554,5.008,125.049,165.611,291.941,0.167,0.649
15-34,LightGBM-NoCovariates,32.653,4.195,131.911,168.758,272.534,0.185,0.637
15-34,LightGBM-Discard,27.263,2.836,146.895,176.994,272.230,0.145,0.587
15-34,LightGBM,28.760,3.519,146.283,178.562,277.964,0.128,0.616
15-34,LightGBM-Oracle,26.360,2.744,151.323,180.426,275.885,0.122,0.576
15-34,LightGBM-NoCovid,24.556,3.946,160.016,188.518,276.694,0.143,0.458
15-34,TSMixer-Naive,33.020,4.079,167.642,204.742,334.924,0.149,0.524
15-34,LightGBM-Naive,23.758,1.319,200.509,225.586,330.570,0.064,0.424
35-59,Nowcast,12.035,10.849,19.304,42.189,72.827,0.375,0.839
35-59,LightGBM-NoCovariates,58.674,12.487,131.600,202.760,344.702,0.387,0.929
35-59,TSMixer-Oracle,64.283,20.276,119.031,203.591,350.079,0.482,0.875
35-59,TSMixer,66.811,29.411,115.281,211.504,363.925,0.452,0.893
35-59,TSMixer-Discard,65.895,27.919,124.587,218.402,373.098,0.470,0.863
35-59,LightGBM-NoCovid,49.486,6.905,178.866,235.257,378.670,0.310,0.792
35-59,LightGBM,53.757,12.921,170.127,236.805,383.921,0.378,0.890
35-59,LightGBM-Discard,51.479,17.450,168.380,237.310,388.869,0.291,0.890
35-59,Persistence,71.068,72.211,96.671,239.950,414.079,0.373,0.865
35-59,LightGBM-Oracle,48.910,23.979,169.037,241.926,399.741,0.244,0.907
35-59,TSMixer-Naive,57.636,6.486,199.068,263.189,438.680,0.286,0.798
35-59,LightGBM-Naive,38.230,0.916,293.199,332.345,496.184,0.140,0.756
60-79,Nowcast,22.486,12.243,41.656,76.386,136.988,0.321,0.857
60-79,LightGBM-NoCovid,100.633,61.433,90.301,252.366,422.831,0.464,0.887
60-79,LightGBM-NoCovariates,119.375,52.046,90.840,262.262,438.090,0.571,0.946
60-79,LightGBM-Discard,97.614,62.323,118.931,278.868,482.280,0.448,0.924
60-79,LightGBM-Oracle,92.556,70.886,117.828,281.271,484.490,0.337,0.924
60-79,LightGBM,101.336,58.434,126.257,286.027,476.926,0.465,0.919
60-79,TSMixer-Oracle,109.622,89.022,100.659,299.303,560.307,0.446,0.905
60-79,TSMixer-Discard,113.678,105.338,94.248,313.264,577.869,0.464,0.899
60-79,TSMixer,116.727,113.068,94.938,324.733,590.150,0.440,0.905
60-79,Persistence,133.194,93.195,131.457,357.846,622.754,0.548,0.865
60-79,TSMixer-Naive,97.163,20.774,243.512,361.450,644.430,0.298,0.869
60-79,LightGBM-Naive,73.004,16.641,308.857,398.502,626.404,0.215,0.820
80+,Nowcast,23.786,11.483,33.900,69.168,132.262,0.387,0.905
80+,LightGBM-NoCovariates,151.034,50.313,71.055,272.403,462.453,0.548,0.958
80+,LightGBM,111.921,59.211,114.264,285.396,503.534,0.355,0.913
80+,LightGBM-Oracle,105.809,67.542,114.021,287.373,510.403,0.331,0.890
80+,TSMixer-Oracle,124.525,65.354,97.771,287.650,517.036,0.595,0.935
80+,LightGBM-Discard,110.416,63.751,119.959,294.126,550.584,0.326,0.913
80+,TSMixer,130.593,74.528,90.368,295.488,514.877,0.607,0.935
80+,LightGBM-NoCovid,118.756,94.817,83.257,296.830,540.717,0.381,0.899
80+,TSMixer-Discard,128.423,77.569,99.019,305.011,539.105,0.548,0.923
80+,Persistence,143.522,82.290,88.235,314.047,529.040,0.579,0.881
80+,TSMixer-Naive,110.852,16.169,221.344,348.364,636.459,0.351,0.857
80+,LightGBM-Naive,92.058,22.010,257.998,372.066,590.155,0.326,0.843
