horizon,model,spread,overprediction,underprediction,wis,ae,c50,c95,level
-3,Nowcast,24.601,1.435,38.765,64.801,123.929,0.310,1.000,national
-2,Nowcast,65.496,11.755,49.235,126.486,254.643,0.452,0.952,national
-1,Nowcast,102.270,62.759,47.017,212.046,421.476,0.452,0.976,national
0,Nowcast,170.068,136.075,85.340,391.483,770.238,0.405,0.952,national
0,LightGBM-Discard,309.410,91.965,324.706,726.081,1143.857,0.524,0.929,national
0,hhh4-Discard,329.350,169.388,229.218,727.956,1329.667,0.500,0.929,national
0,TSMixer-Discard,410.652,157.315,277.211,845.179,1648.963,0.500,0.976,national
1,hhh4-Oracle,316.057,177.153,247.861,741.071,1287.143,0.571,0.905,national
1,LightGBM-NoCovid,334.426,116.702,331.005,782.133,1271.206,0.452,0.929,national
1,TSCount-Extended,323.022,188.500,278.765,790.287,1431.095,0.524,0.929,national
1,hhh4,342.692,232.660,224.837,800.189,1415.000,0.643,0.929,national
1,hhh4-Shuffle,334.638,239.837,226.884,801.359,1412.381,0.643,0.929,national
1,LightGBM-NoCovariates,424.751,143.147,235.967,803.866,1306.174,0.643,0.952,national
1,LightGBM-Oracle,281.131,155.708,367.497,804.336,1301.015,0.286,0.905,national
1,hhh4-Vincentization,320.549,252.190,231.723,804.463,1406.948,0.643,0.905,national
1,LightGBM,337.046,139.887,355.053,831.986,1293.368,0.524,0.929,national
1,hhh4-NoCovid,297.451,247.486,321.602,866.539,1534.571,0.429,0.881,national
1,TSMixer-Oracle,394.535,154.281,319.793,868.609,1688.389,0.476,0.952,national
1,TSMixer,421.406,196.449,266.015,883.870,1699.930,0.500,0.976,national
1,Ensemble,393.624,57.991,450.388,902.003,1601.903,0.500,0.929,national
1,Persistence,393.481,327.796,182.711,903.988,1607.690,0.619,0.905,national
1,TSMixer-NoCovid,512.702,222.096,251.581,986.378,1978.593,0.476,1.000,national
1,LightGBM-Discard,377.029,96.846,525.858,999.733,1588.858,0.476,0.929,national
1,TSCount-Simple,160.189,470.813,396.364,1027.366,1515.476,0.286,0.595,national
1,hhh4-Discard,372.471,279.099,388.099,1039.668,1874.857,0.452,0.881,national
1,TSMixer-Discard,404.773,225.040,492.293,1122.106,2157.594,0.381,0.952,national
1,TSMixer-Naive,348.567,17.772,855.529,1221.868,2266.206,0.310,0.905,national
1,hhh4-Naive,270.956,24.925,1152.075,1447.956,2456.905,0.095,0.667,national
1,TSMixer-Covariates,501.135,5.465,1052.367,1558.966,2935.462,0.333,0.881,national
1,LightGBM-Naive,225.578,13.418,1361.177,1600.173,2453.773,0.095,0.762,national
1,Historical,558.240,30.680,1497.160,2086.080,3645.500,0.286,0.548,national
2,hhh4-Oracle,359.801,174.881,404.656,939.339,1701.095,0.500,0.905,national
2,LightGBM-NoCovariates,496.337,87.081,400.978,984.396,1397.559,0.762,0.976,national
2,LightGBM,408.016,90.766,520.053,1018.835,1527.958,0.548,0.952,national
2,LightGBM-NoCovid,339.468,56.140,628.922,1024.530,1760.795,0.429,0.905,national
2,LightGBM-Oracle,357.622,109.770,558.100,1025.492,1610.220,0.381,0.929,national
2,hhh4,382.908,257.190,413.833,1053.932,1883.548,0.452,0.905,national
2,hhh4-Shuffle,376.345,263.585,417.609,1057.539,1882.833,0.452,0.905,national
2,hhh4-Vincentization,364.831,275.930,422.089,1062.850,1879.742,0.452,0.857,national
2,Ensemble,432.544,61.609,578.888,1073.042,1886.843,0.500,0.952,national
2,TSCount-Extended,411.017,156.663,508.442,1076.122,1971.024,0.429,0.976,national
2,TSMixer,419.291,210.723,473.222,1103.236,2019.717,0.381,0.905,national
2,TSMixer-Oracle,389.714,164.578,567.054,1121.345,2138.569,0.357,0.952,national
2,hhh4-Discard,405.704,261.806,501.150,1168.660,2157.452,0.357,0.881,national
2,hhh4-NoCovid,322.386,248.476,600.833,1171.696,2034.119,0.333,0.810,national
2,TSMixer-NoCovid,499.960,249.451,431.736,1181.147,2272.974,0.524,0.952,national
2,TSMixer-Discard,402.582,234.224,572.828,1209.634,2286.010,0.381,0.905,national
2,LightGBM-Discard,411.237,73.583,787.651,1272.472,1902.353,0.476,0.905,national
2,Persistence,563.812,386.663,360.915,1311.390,2224.190,0.643,0.905,national
2,TSMixer-Naive,340.144,18.182,1222.632,1580.957,2776.431,0.214,0.786,national
2,TSMixer-Covariates,506.709,21.554,1063.428,1591.691,3056.757,0.190,0.952,national
2,TSCount-Simple,153.753,654.765,806.279,1614.798,2154.452,0.143,0.476,national
2,hhh4-Naive,308.393,42.568,1341.150,1692.111,2888.595,0.071,0.714,national
2,LightGBM-Naive,293.507,6.879,1443.255,1743.641,2645.522,0.143,0.810,national
2,Historical,555.011,30.680,1565.310,2151.001,3772.738,0.286,0.548,national
3,hhh4-Oracle,393.573,203.847,494.687,1092.107,1991.262,0.381,0.905,national
3,LightGBM-NoCovariates,529.806,52.363,595.088,1177.257,1812.725,0.714,0.952,national
3,LightGBM-NoCovid,371.118,38.977,791.753,1201.848,1970.063,0.405,0.905,national
3,hhh4-Discard,432.036,246.007,539.095,1217.138,2291.333,0.310,0.905,national
3,TSMixer-Discard,397.627,182.411,651.313,1231.351,2321.521,0.333,0.905,national
3,hhh4,414.223,293.408,529.694,1237.325,2262.476,0.381,0.905,national
3,LightGBM,442.665,61.366,735.690,1239.721,1852.177,0.571,0.929,national
3,hhh4-Shuffle,408.612,299.020,534.422,1242.054,2260.571,0.381,0.905,national
3,hhh4-Vincentization,398.913,309.713,540.400,1249.026,2256.154,0.357,0.881,national
3,Ensemble,453.012,71.978,741.284,1266.275,2224.646,0.452,0.929,national
3,TSMixer,417.774,285.538,574.441,1277.753,2416.849,0.333,0.905,national
3,TSMixer-Oracle,388.012,230.911,677.141,1296.063,2433.748,0.310,0.833,national
3,LightGBM-Oracle,390.093,91.167,820.229,1301.489,1918.032,0.429,0.881,national
3,TSCount-Extended,450.949,176.061,687.769,1314.779,2553.619,0.310,0.929,national
3,LightGBM-Discard,417.773,60.973,904.673,1383.420,2214.845,0.357,0.905,national
3,hhh4-NoCovid,339.656,278.265,793.680,1411.602,2455.048,0.214,0.667,national
3,TSMixer-NoCovid,507.961,242.320,691.014,1441.294,2742.546,0.405,0.857,national
3,Persistence,687.757,470.952,483.252,1641.961,2830.000,0.548,0.952,national
3,TSMixer-Naive,340.151,53.308,1364.290,1757.750,2882.837,0.214,0.690,national
3,TSMixer-Covariates,502.149,46.290,1238.322,1786.762,3338.894,0.167,0.905,national
3,hhh4-Naive,337.219,65.486,1454.854,1857.560,3141.048,0.095,0.667,national
3,LightGBM-Naive,331.904,11.131,1561.946,1904.981,2785.655,0.190,0.810,national
3,Historical,547.316,30.680,1576.197,2154.194,3790.810,0.262,0.548,national
3,TSCount-Simple,148.837,862.759,1176.568,2188.163,2763.095,0.119,0.381,national
4,hhh4-Oracle,420.347,262.398,505.136,1187.881,2283.405,0.310,0.905,national
4,TSMixer,408.567,239.980,568.953,1217.499,2300.755,0.357,0.929,national
4,hhh4-Discard,453.009,255.701,524.187,1232.896,2391.548,0.357,0.905,national
4,TSMixer-Oracle,385.629,206.577,664.268,1256.474,2333.270,0.333,0.786,national
4,LightGBM,440.370,59.707,760.096,1260.174,1961.462,0.429,0.929,national
4,Ensemble,458.221,72.516,729.906,1260.643,2302.195,0.357,0.952,national
4,LightGBM-Oracle,400.572,80.158,781.222,1261.952,2059.785,0.333,0.929,national
4,LightGBM-NoCovariates,499.828,61.952,710.936,1272.716,2167.170,0.571,0.952,national
4,LightGBM-NoCovid,382.149,60.404,885.504,1328.057,2140.828,0.381,0.833,national
4,hhh4,438.806,349.895,570.639,1359.340,2537.214,0.310,0.905,national
4,hhh4-Shuffle,434.129,355.541,574.313,1363.983,2535.786,0.310,0.905,national
4,hhh4-Vincentization,425.808,366.486,577.930,1370.224,2530.502,0.310,0.905,national
4,TSCount-Extended,469.466,182.293,744.384,1396.143,2742.976,0.286,0.976,national
4,TSMixer-NoCovid,501.699,222.442,818.921,1543.063,2742.370,0.429,0.881,national
4,hhh4-NoCovid,351.799,369.667,920.799,1642.265,2742.738,0.238,0.548,national
4,TSMixer-Naive,340.284,71.166,1257.841,1669.292,2812.362,0.214,0.714,national
4,TSMixer-Covariates,495.486,42.928,1148.839,1687.253,3220.580,0.214,0.929,national
4,Persistence,817.510,485.051,502.912,1805.472,3171.548,0.643,0.976,national
4,LightGBM-Naive,353.524,14.311,1446.427,1814.263,2815.683,0.214,0.857,national
4,hhh4-Naive,360.092,72.367,1396.990,1829.449,3136.024,0.167,0.619,national
4,Historical,529.492,30.680,1446.544,2006.717,3559.524,0.238,0.571,national
4,TSCount-Simple,144.791,1070.075,1242.704,2457.570,3015.976,0.119,0.405,national
-3,Nowcast,3.780,0.228,9.176,13.185,23.071,0.544,0.956,age
-2,Nowcast,10.080,1.942,13.773,25.796,50.786,0.421,0.940,age
-1,Nowcast,15.847,18.846,19.386,54.078,95.385,0.274,0.698,age
0,Nowcast,26.484,51.995,35.865,114.345,188.302,0.242,0.643,age
0,hhh4-Discard,88.403,31.776,38.433,158.613,286.488,0.647,0.988,age
0,LightGBM-Discard,57.897,33.021,81.088,172.006,293.351,0.329,0.837,age
0,TSMixer-Discard,87.423,39.406,68.181,195.009,367.372,0.456,0.940,age
1,hhh4-Oracle,86.249,34.312,37.239,157.799,285.940,0.627,0.972,age
1,hhh4-NoCovid,82.005,45.613,41.263,168.881,305.770,0.560,0.952,age
1,hhh4-Vincentization,88.541,41.803,39.652,169.995,305.058,0.603,0.964,age
1,hhh4,90.938,39.395,39.898,170.231,304.603,0.611,0.976,age
1,hhh4-Shuffle,90.077,40.061,40.171,170.309,305.103,0.611,0.968,age
1,Ensemble,83.799,15.992,73.656,173.447,313.601,0.516,0.964,age
1,LightGBM,63.497,36.718,74.584,174.798,297.628,0.377,0.881,age
1,LightGBM-Oracle,54.855,41.166,81.063,177.084,300.058,0.286,0.821,age
1,LightGBM-NoCovariates,77.123,41.357,59.340,177.819,305.948,0.429,0.897,age
1,TSCount-Extended,92.002,28.132,58.182,178.316,316.603,0.595,0.960,age
1,TSMixer-Oracle,84.806,37.665,74.246,196.717,362.374,0.460,0.913,age
1,Persistence,61.232,78.141,58.393,197.765,335.234,0.389,0.806,age
1,TSMixer,89.510,49.578,65.262,204.351,375.221,0.500,0.913,age
1,hhh4-Discard,104.629,48.739,51.779,205.147,367.460,0.639,0.980,age
1,LightGBM-NoCovid,59.969,60.781,86.461,207.211,349.444,0.298,0.766,age
1,LightGBM-Discard,66.903,35.809,117.085,219.796,364.199,0.329,0.821,age
1,hhh4-Naive,74.370,7.728,139.968,222.066,394.643,0.444,0.889,age
1,TSCount-Simple,25.154,99.586,101.105,225.846,311.635,0.167,0.448,age
1,TSMixer-Naive,76.502,11.794,138.021,226.318,411.966,0.341,0.829,age
1,TSMixer-Discard,86.776,50.643,95.022,232.441,422.081,0.417,0.873,age
1,TSMixer-NoCovid,96.419,63.488,85.805,245.712,448.220,0.401,0.841,age
1,LightGBM-Naive,44.035,8.021,205.458,257.513,396.025,0.175,0.734,age
1,TSMixer-Covariates,96.963,5.658,197.125,299.747,531.395,0.337,0.790,age
1,Historical,113.852,9.738,231.955,355.545,607.889,0.317,0.698,age
2,hhh4-Oracle,102.416,39.769,50.571,192.756,344.833,0.659,0.972,age
2,Ensemble,92.115,19.501,94.887,206.503,365.478,0.512,0.960,age
2,hhh4-NoCovid,96.447,54.775,58.537,209.759,378.857,0.536,0.952,age
2,LightGBM-NoCovariates,85.601,33.545,92.153,211.299,338.224,0.421,0.881,age
